pair_id,proxy_layer,target_layer,subset,image_count,cka
P20,vision_mid,vision_mid,global,50,0.9905766248703003
P20,vision_mid,vision_mid,class_7,5,0.9889552593231201
P20,vision_mid,vision_mid,class_8,5,0.9910562038421631
P20,vision_mid,vision_mid,classes_7_8,10,0.9861358404159546
P20,vision_mid,vision_final,global,50,0.3874182105064392
P20,vision_mid,vision_final,class_7,5,0.7388416528701782
P20,vision_mid,vision_final,class_8,5,0.9511451721191406
P20,vision_mid,vision_final,classes_7_8,10,0.5643121004104614
P20,vision_mid,projected,global,50,0.24947665631771088
P20,vision_mid,projected,class_7,5,0.6073764562606812
P20,vision_mid,projected,class_8,5,0.8840952515602112
P20,vision_mid,projected,classes_7_8,10,0.48426172137260437
P20,vision_final,vision_mid,global,50,0.31934070587158203
P20,vision_final,vision_mid,class_7,5,0.595865786075592
P20,vision_final,vision_mid,class_8,5,0.8954048156738281
P20,vision_final,vision_mid,classes_7_8,10,0.4780259430408478
P20,vision_final,vision_final,global,50,0.938441812992096
P20,vision_final,vision_final,class_7,5,0.9867860078811646
P20,vision_final,vision_final,class_8,5,0.9860386848449707
P20,vision_final,vision_final,classes_7_8,10,0.9833124279975891
P20,vision_final,projected,global,50,0.9126299023628235
P20,vision_final,projected,class_7,5,0.9686618447303772
P20,vision_final,projected,class_8,5,0.968299150466919
P20,vision_final,projected,classes_7_8,10,0.9678383469581604
P20,projected,vision_mid,global,50,0.2337729036808014
P20,projected,vision_mid,class_7,5,0.5450278520584106
P20,projected,vision_mid,class_8,5,0.8615977764129639
P20,projected,vision_mid,classes_7_8,10,0.43798622488975525
P20,projected,vision_final,global,50,0.9195470213890076
P20,projected,vision_final,class_7,5,0.9773131012916565
P20,projected,vision_final,class_8,5,0.9725043177604675
P20,projected,vision_final,classes_7_8,10,0.986193835735321
P20,projected,projected,global,50,0.9517692923545837
P20,projected,projected,class_7,5,0.9899157881736755
P20,projected,projected,class_8,5,0.9816880226135254
P20,projected,projected,classes_7_8,10,0.9877020120620728
P21,vision_mid,vision_mid,global,50,0.9776567816734314
P21,vision_mid,vision_mid,class_7,5,0.9984723925590515
P21,vision_mid,vision_mid,class_8,5,0.9928795099258423
P21,vision_mid,vision_mid,classes_7_8,10,0.9910135865211487
P21,vision_mid,vision_final,global,50,0.6285089254379272
P21,vision_mid,vision_final,class_7,5,0.9505072236061096
P21,vision_mid,vision_final,class_8,5,0.8440967798233032
P21,vision_mid,vision_final,classes_7_8,10,0.794294536113739
P21,vision_mid,projected,global,50,0.6359638571739197
P21,vision_mid,projected,class_7,5,0.9359016418457031
P21,vision_mid,projected,class_8,5,0.8326376676559448
P21,vision_mid,projected,classes_7_8,10,0.7975547909736633
P21,vision_final,vision_mid,global,50,0.6699219346046448
P21,vision_final,vision_mid,class_7,5,0.9442970752716064
P21,vision_final,vision_mid,class_8,5,0.8484676480293274
P21,vision_final,vision_mid,classes_7_8,10,0.7879219055175781
P21,vision_final,vision_final,global,50,0.9217031002044678
P21,vision_final,vision_final,class_7,5,0.9840225577354431
P21,vision_final,vision_final,class_8,5,0.9692331552505493
P21,vision_final,vision_final,classes_7_8,10,0.9805678129196167
P21,vision_final,projected,global,50,0.9076240062713623
P21,vision_final,projected,class_7,5,0.9691822528839111
P21,vision_final,projected,class_8,5,0.9538941383361816
P21,vision_final,projected,classes_7_8,10,0.9702669382095337
P21,projected,vision_mid,global,50,0.6924178004264832
P21,projected,vision_mid,class_7,5,0.924425482749939
P21,projected,vision_mid,class_8,5,0.8432108163833618
P21,projected,vision_mid,classes_7_8,10,0.7837137579917908
P21,projected,vision_final,global,50,0.8936738967895508
P21,projected,vision_final,class_7,5,0.9885408282279968
P21,projected,vision_final,class_8,5,0.975141167640686
P21,projected,vision_final,classes_7_8,10,0.960846483707428
P21,projected,projected,global,50,0.9172278642654419
P21,projected,projected,class_7,5,0.9830852150917053
P21,projected,projected,class_8,5,0.9700133800506592
P21,projected,projected,classes_7_8,10,0.9701866507530212
P22,vision_mid,vision_mid,global,50,0.9999725222587585
P22,vision_mid,vision_mid,class_7,5,0.9999915361404419
P22,vision_mid,vision_mid,class_8,5,0.9999904632568359
P22,vision_mid,vision_mid,classes_7_8,10,0.9999893307685852
P22,vision_mid,vision_final,global,50,0.5287947654724121
P22,vision_mid,vision_final,class_7,5,0.8544160723686218
P22,vision_mid,vision_final,class_8,5,0.8486990928649902
P22,vision_mid,vision_final,classes_7_8,10,0.7317045331001282
P22,vision_mid,projected,global,50,0.5254485607147217
P22,vision_mid,projected,class_7,5,0.8637092113494873
P22,vision_mid,projected,class_8,5,0.8817390203475952
P22,vision_mid,projected,classes_7_8,10,0.7423939108848572
P22,vision_final,vision_mid,global,50,0.5295388102531433
P22,vision_final,vision_mid,class_7,5,0.8543100357055664
P22,vision_final,vision_mid,class_8,5,0.8475103378295898
P22,vision_final,vision_mid,classes_7_8,10,0.7315397262573242
P22,vision_final,vision_final,global,50,0.9999039173126221
P22,vision_final,vision_final,class_7,5,0.9999781847000122
P22,vision_final,vision_final,class_8,5,0.9999861121177673
P22,vision_final,vision_final,classes_7_8,10,0.9999786019325256
P22,vision_final,projected,global,50,0.9646109938621521
P22,vision_final,projected,class_7,5,0.9951671361923218
P22,vision_final,projected,class_8,5,0.9794269800186157
P22,vision_final,projected,classes_7_8,10,0.9850143790245056
P22,projected,vision_mid,global,50,0.5418320894241333
P22,projected,vision_mid,class_7,5,0.8732485175132751
P22,projected,vision_mid,class_8,5,0.885593831539154
P22,projected,vision_mid,classes_7_8,10,0.7534611821174622
P22,projected,vision_final,global,50,0.9726417064666748
P22,projected,vision_final,class_7,5,0.9938328266143799
P22,projected,vision_final,class_8,5,0.9897618293762207
P22,projected,vision_final,classes_7_8,10,0.9921573400497437
P22,projected,projected,global,50,0.9935379028320312
P22,projected,projected,class_7,5,0.9990269541740417
P22,projected,projected,class_8,5,0.9972092509269714
P22,projected,projected,classes_7_8,10,0.9963396191596985
