pair_id,proxy_layer,target_layer,subset,image_count,true_cka,null_mean,null_std,z_score,empirical_p_value,null_exceedance_count,permutations_evaluated,exact_null
P02,vision_mid,vision_mid,global,50,0.652891218662262,0.10623331648856402,0.02648179880854954,20.642778314485632,0.000999000999000999,0,1000,0
P02,vision_mid,vision_mid,class_7,5,0.9568572640419006,0.6409009289340812,0.1234434154659898,2.5595235996598724,0.008333333333333333,0,119,1
P02,vision_mid,vision_mid,class_8,5,0.9252635836601257,0.5007417611464733,0.19008443895984853,2.233332853739406,0.03333333333333333,3,119,1
P02,vision_mid,vision_mid,classes_7_8,10,0.8853600025177002,0.34823032262921333,0.098285580173708,5.464989665210037,0.000999000999000999,0,1000,0
P02,vision_mid,vision_final,global,50,0.4236683249473572,0.19200775296986103,0.01999760803140525,11.584414076607798,0.000999000999000999,0,1000,0
P02,vision_mid,vision_final,class_7,5,0.805182933807373,0.7514505762012065,0.05526253034118602,0.9723108456023947,0.21666666666666667,25,119,1
P02,vision_mid,vision_final,class_8,5,0.8452264070510864,0.6056478349100641,0.13625955260144287,1.758251568914115,0.09166666666666666,10,119,1
P02,vision_mid,vision_final,classes_7_8,10,0.715050995349884,0.4546748306155205,0.07100514367014868,3.667004265830793,0.003996003996003996,3,1000,0
P02,vision_mid,projected,global,50,0.4078027009963989,0.1896284028440714,0.02085966973769914,10.459144410998357,0.000999000999000999,0,1000,0
P02,vision_mid,projected,class_7,5,0.8136991858482361,0.752950321225559,0.056704611316282134,1.0713214183558584,0.15833333333333333,18,119,1
P02,vision_mid,projected,class_8,5,0.8452751040458679,0.6094764483576062,0.13393879255433,1.7604956054282335,0.10833333333333334,12,119,1
P02,vision_mid,projected,classes_7_8,10,0.7038485407829285,0.4588526747226715,0.0707083546682735,3.464878615966233,0.005994005994005994,5,1000,0
P02,vision_final,vision_mid,global,50,0.4056399464607239,0.2307980950474739,0.020271199353479465,8.625136005247718,0.000999000999000999,0,1000,0
P02,vision_final,vision_mid,class_7,5,0.7816112637519836,0.7020286176384998,0.06890880723720301,1.1548980355956326,0.15833333333333333,18,119,1
