pair_id,proxy_layer,target_layer,subset,image_count,cka
P02,vision_mid,vision_mid,global,50,0.652891218662262
P02,vision_mid,vision_mid,class_7,5,0.9568572640419006
P02,vision_mid,vision_mid,class_8,5,0.9252635836601257
P02,vision_mid,vision_mid,classes_7_8,10,0.8853600025177002
P02,vision_mid,vision_final,global,50,0.4236683249473572
P02,vision_mid,vision_final,class_7,5,0.805182933807373
P02,vision_mid,vision_final,class_8,5,0.8452264070510864
P02,vision_mid,vision_final,classes_7_8,10,0.715050995349884
P02,vision_mid,projected,global,50,0.4078027009963989
P02,vision_mid,projected,class_7,5,0.8136991858482361
P02,vision_mid,projected,class_8,5,0.8452751040458679
P02,vision_mid,projected,classes_7_8,10,0.7038485407829285
P02,vision_final,vision_mid,global,50,0.4056399464607239
P02,vision_final,vision_mid,class_7,5,0.7816100120544434
P02,vision_final,vision_mid,class_8,5,0.8950273394584656
P02,vision_final,vision_mid,classes_7_8,10,0.6898409128189087
P02,vision_final,vision_final,global,50,0.7777469754219055
P02,vision_final,vision_final,class_7,5,0.9420425295829773
P02,vision_final,vision_final,class_8,5,0.9439918398857117
P02,vision_final,vision_final,classes_7_8,10,0.9119216799736023
P02,vision_final,projected,global,50,0.7916268706321716
P02,vision_final,projected,class_7,5,0.9391320943832397
P02,vision_final,projected,class_8,5,0.9456709623336792
P02,vision_final,projected,classes_7_8,10,0.9274474382400513
P02,projected,vision_mid,global,50,0.37502241134643555
P02,projected,vision_mid,class_7,5,0.7521103620529175
P02,projected,vision_mid,class_8,5,0.892281711101532
P02,projected,vision_mid,classes_7_8,10,0.6713424324989319
P02,projected,vision_final,global,50,0.8018626570701599
P02,projected,vision_final,class_7,5,0.9294111728668213
P02,projected,vision_final,class_8,5,0.9705150127410889
P02,projected,vision_final,classes_7_8,10,0.9168137907981873
P02,projected,projected,global,50,0.8166780471801758
P02,projected,projected,class_7,5,0.9191297888755798
P02,projected,projected,class_8,5,0.9755738973617554
P02,projected,projected,classes_7_8,10,0.9364863634109497
P06,vision_mid,vision_mid,global,50,0.8865558505058289
P06,vision_mid,vision_mid,class_7,5,0.9884940385818481
P06,vision_mid,vision_mid,class_8,5,0.9766198396682739
P06,vision_mid,vision_mid,classes_7_8,10,0.9716063737869263
P06,vision_mid,vision_final,global,50,0.6983727812767029
P06,vision_mid,vision_final,class_7,5,0.9651420712471008
P06,vision_mid,vision_final,class_8,5,0.9739603400230408
P06,vision_mid,vision_final,classes_7_8,10,0.8763771653175354
P06,vision_mid,projected,global,50,0.7139595150947571
P06,vision_mid,projected,class_7,5,0.9512268900871277
P06,vision_mid,projected,class_8,5,0.9616817831993103
P06,vision_mid,projected,classes_7_8,10,0.8855725526809692
P06,vision_final,vision_mid,global,50,0.5796754360198975
P06,vision_final,vision_mid,class_7,5,0.937977135181427
P06,vision_final,vision_mid,class_8,5,0.9515028595924377
P06,vision_final,vision_mid,classes_7_8,10,0.8847519755363464
P06,vision_final,vision_final,global,50,0.762873649597168
P06,vision_final,vision_final,class_7,5,0.9306921362876892
P06,vision_final,vision_final,class_8,5,0.9241936206817627
P06,vision_final,vision_final,classes_7_8,10,0.8826026320457458
P06,vision_final,projected,global,50,0.7634348273277283
P06,vision_final,projected,class_7,5,0.9102622270584106
P06,vision_final,projected,class_8,5,0.9117938280105591
P06,vision_final,projected,classes_7_8,10,0.8852502703666687
P06,projected,vision_mid,global,50,0.5470401048660278
P06,projected,vision_mid,class_7,5,0.8766354918479919
P06,projected,vision_mid,class_8,5,0.9569152593612671
P06,projected,vision_mid,classes_7_8,10,0.7889710068702698
P06,projected,vision_final,global,50,0.773018479347229
P06,projected,vision_final,class_7,5,0.9291788935661316
P06,projected,vision_final,class_8,5,0.9742991924285889
P06,projected,vision_final,classes_7_8,10,0.9388076066970825
P06,projected,projected,global,50,0.7502443790435791
P06,projected,projected,class_7,5,0.906552791595459
P06,projected,projected,class_8,5,0.9474101662635803
P06,projected,projected,classes_7_8,10,0.919643223285675
P11,vision_mid,vision_mid,global,50,0.5197588205337524
P11,vision_mid,vision_mid,class_7,5,0.8581076860427856
P11,vision_mid,vision_mid,class_8,5,0.8949111700057983
P11,vision_mid,vision_mid,classes_7_8,10,0.8164486289024353
P11,vision_mid,vision_final,global,50,0.8855440020561218
P11,vision_mid,vision_final,class_7,5,0.9850765466690063
P11,vision_mid,vision_final,class_8,5,0.9756407141685486
P11,vision_mid,vision_final,classes_7_8,10,0.958747148513794
P11,vision_mid,projected,global,50,0.878484308719635
P11,vision_mid,projected,class_7,5,0.9917808771133423
P11,vision_mid,projected,class_8,5,0.9843409657478333
P11,vision_mid,projected,classes_7_8,10,0.9633105397224426
P11,vision_final,vision_mid,global,50,0.3321317732334137
P11,vision_final,vision_mid,class_7,5,0.6755169034004211
P11,vision_final,vision_mid,class_8,5,0.8889701962471008
P11,vision_final,vision_mid,classes_7_8,10,0.6287214756011963
P11,vision_final,vision_final,global,50,0.7487816214561462
P11,vision_final,vision_final,class_7,5,0.9042420983314514
P11,vision_final,vision_final,class_8,5,0.951076328754425
P11,vision_final,vision_final,classes_7_8,10,0.8970968723297119
P11,vision_final,projected,global,50,0.7420074939727783
P11,vision_final,projected,class_7,5,0.9092275500297546
P11,vision_final,projected,class_8,5,0.9562186598777771
P11,vision_final,projected,classes_7_8,10,0.9104583263397217
P11,projected,vision_mid,global,50,0.3379204571247101
P11,projected,vision_mid,class_7,5,0.6507099270820618
P11,projected,vision_mid,class_8,5,0.85546875
P11,projected,vision_mid,classes_7_8,10,0.6245537400245667
P11,projected,vision_final,global,50,0.7241984009742737
P11,projected,vision_final,class_7,5,0.8759257793426514
P11,projected,vision_final,class_8,5,0.9464536309242249
P11,projected,vision_final,classes_7_8,10,0.8893226385116577
P11,projected,projected,global,50,0.7164037227630615
P11,projected,projected,class_7,5,0.8916772603988647
P11,projected,projected,class_8,5,0.9476976990699768
P11,projected,projected,classes_7_8,10,0.9015998840332031
P14,vision_mid,vision_mid,global,50,0.9914357662200928
P14,vision_mid,vision_mid,class_7,5,0.9889553785324097
P14,vision_mid,vision_mid,class_8,5,0.997844398021698
P14,vision_mid,vision_mid,classes_7_8,10,0.9958188533782959
P14,vision_mid,vision_final,global,50,0.3377741277217865
P14,vision_mid,vision_final,class_7,5,0.5958656668663025
P14,vision_mid,vision_final,class_8,5,0.8803888559341431
P14,vision_mid,vision_final,classes_7_8,10,0.6200012564659119
P14,vision_mid,projected,global,50,0.2520180940628052
P14,vision_mid,projected,class_7,5,0.5450277328491211
P14,vision_mid,projected,class_8,5,0.840189516544342
P14,vision_mid,projected,classes_7_8,10,0.5523723363876343
P14,vision_final,vision_mid,global,50,0.4214022755622864
P14,vision_final,vision_mid,class_7,5,0.738841712474823
P14,vision_final,vision_mid,class_8,5,0.9428297281265259
P14,vision_final,vision_mid,classes_7_8,10,0.6839085817337036
P14,vision_final,vision_final,global,50,0.9320859313011169
P14,vision_final,vision_final,class_7,5,0.986785888671875
P14,vision_final,vision_final,class_8,5,0.9505770802497864
P14,vision_final,vision_final,classes_7_8,10,0.9509145021438599
P14,vision_final,projected,global,50,0.9115571975708008
P14,vision_final,projected,class_7,5,0.9773131012916565
P14,vision_final,projected,class_8,5,0.9538298845291138
P14,vision_final,projected,classes_7_8,10,0.9494965076446533
P14,projected,vision_mid,global,50,0.26018598675727844
P14,projected,vision_mid,class_7,5,0.6073763966560364
P14,projected,vision_mid,class_8,5,0.8226920366287231
P14,projected,vision_mid,classes_7_8,10,0.5272392630577087
P14,projected,vision_final,global,50,0.9064922332763672
P14,projected,vision_final,class_7,5,0.9686616659164429
P14,projected,vision_final,class_8,5,0.9444329142570496
P14,projected,vision_final,classes_7_8,10,0.9541172981262207
P14,projected,projected,global,50,0.9478523135185242
P14,projected,projected,class_7,5,0.9899157881736755
P14,projected,projected,class_8,5,0.9796251654624939
P14,projected,projected,classes_7_8,10,0.982789933681488
P16,vision_mid,vision_mid,global,50,0.9783196449279785
P16,vision_mid,vision_mid,class_7,5,0.9984724521636963
P16,vision_mid,vision_mid,class_8,5,0.995162308216095
P16,vision_mid,vision_mid,classes_7_8,10,0.9934563040733337
P16,vision_mid,vision_final,global,50,0.6932432651519775
P16,vision_mid,vision_final,class_7,5,0.944297194480896
P16,vision_mid,vision_final,class_8,5,0.9670386910438538
P16,vision_mid,vision_final,classes_7_8,10,0.8613147735595703
P16,vision_mid,projected,global,50,0.7114740610122681
P16,vision_mid,projected,class_7,5,0.9244256615638733
P16,vision_mid,projected,class_8,5,0.9644759893417358
P16,vision_mid,projected,classes_7_8,10,0.8661162853240967
P16,vision_final,vision_mid,global,50,0.6558211445808411
P16,vision_final,vision_mid,class_7,5,0.9505072236061096
P16,vision_final,vision_mid,class_8,5,0.9522665143013
P16,vision_final,vision_mid,classes_7_8,10,0.8552194237709045
P16,vision_final,vision_final,global,50,0.921113133430481
P16,vision_final,vision_final,class_7,5,0.9840223789215088
P16,vision_final,vision_final,class_8,5,0.9912784099578857
P16,vision_final,vision_final,classes_7_8,10,0.9871695637702942
P16,vision_final,projected,global,50,0.8969541788101196
P16,vision_final,projected,class_7,5,0.9885408282279968
P16,vision_final,projected,class_8,5,0.995732307434082
P16,vision_final,projected,classes_7_8,10,0.9735796451568604
P16,projected,vision_mid,global,50,0.6592651605606079
P16,projected,vision_mid,class_7,5,0.9359017014503479
P16,projected,vision_mid,class_8,5,0.9518656730651855
P16,projected,vision_mid,classes_7_8,10,0.8656694889068604
P16,projected,vision_final,global,50,0.9059346914291382
P16,projected,vision_final,class_7,5,0.9691823124885559
P16,projected,vision_final,class_8,5,0.9735891222953796
P16,projected,vision_final,classes_7_8,10,0.9786248207092285
P16,projected,projected,global,50,0.9171384572982788
P16,projected,projected,class_7,5,0.9830853939056396
P16,projected,projected,class_8,5,0.9911081194877625
P16,projected,projected,classes_7_8,10,0.9865959286689758
P19,vision_mid,vision_mid,global,50,0.9999737739562988
P19,vision_mid,vision_mid,class_7,5,0.9999913573265076
P19,vision_mid,vision_mid,class_8,5,0.9999964237213135
P19,vision_mid,vision_mid,classes_7_8,10,0.9999918937683105
P19,vision_mid,vision_final,global,50,0.5525819063186646
P19,vision_mid,vision_final,class_7,5,0.8543098568916321
P19,vision_mid,vision_final,class_8,5,0.8883111476898193
P19,vision_mid,vision_final,classes_7_8,10,0.7877755761146545
P19,vision_mid,projected,global,50,0.5652332901954651
P19,vision_mid,projected,class_7,5,0.8732485175132751
P19,vision_mid,projected,class_8,5,0.9062785506248474
P19,vision_mid,projected,classes_7_8,10,0.7925374507904053
P19,vision_final,vision_mid,global,50,0.5521090030670166
P19,vision_final,vision_mid,class_7,5,0.8544161319732666
P19,vision_final,vision_mid,class_8,5,0.8887361288070679
P19,vision_final,vision_mid,classes_7_8,10,0.7887041568756104
P19,vision_final,vision_final,global,50,0.9999071359634399
P19,vision_final,vision_final,class_7,5,0.9999783635139465
P19,vision_final,vision_final,class_8,5,0.9999864101409912
P19,vision_final,vision_final,classes_7_8,10,0.9999778866767883
P19,vision_final,projected,global,50,0.9722930788993835
P19,vision_final,projected,class_7,5,0.993833065032959
P19,vision_final,projected,class_8,5,0.9943641424179077
P19,vision_final,projected,classes_7_8,10,0.9906090497970581
P19,projected,vision_mid,global,50,0.551034152507782
P19,projected,vision_mid,class_7,5,0.8637092709541321
P19,projected,vision_mid,class_8,5,0.904017984867096
P19,projected,vision_mid,classes_7_8,10,0.7827033400535583
P19,projected,vision_final,global,50,0.9657220840454102
P19,projected,vision_final,class_7,5,0.9951670169830322
P19,projected,vision_final,class_8,5,0.992117166519165
P19,projected,vision_final,classes_7_8,10,0.9884225130081177
P19,projected,projected,global,50,0.993607759475708
P19,projected,projected,class_7,5,0.999026894569397
P19,projected,projected,class_8,5,0.999157190322876
P19,projected,projected,classes_7_8,10,0.9978289604187012
P20,vision_mid,vision_mid,global,50,0.9914357662200928
P20,vision_mid,vision_mid,class_7,5,0.9889553785324097
P20,vision_mid,vision_mid,class_8,5,0.997844398021698
P20,vision_mid,vision_mid,classes_7_8,10,0.9958188533782959
P20,vision_mid,vision_final,global,50,0.4214022755622864
P20,vision_mid,vision_final,class_7,5,0.738841712474823
P20,vision_mid,vision_final,class_8,5,0.9428297281265259
P20,vision_mid,vision_final,classes_7_8,10,0.6839085817337036
P20,vision_mid,projected,global,50,0.26018598675727844
P20,vision_mid,projected,class_7,5,0.6073763966560364
P20,vision_mid,projected,class_8,5,0.8226920366287231
P20,vision_mid,projected,classes_7_8,10,0.5272392630577087
P20,vision_final,vision_mid,global,50,0.3377741277217865
P20,vision_final,vision_mid,class_7,5,0.5958656668663025
P20,vision_final,vision_mid,class_8,5,0.8803888559341431
P20,vision_final,vision_mid,classes_7_8,10,0.6200012564659119
P20,vision_final,vision_final,global,50,0.9320859313011169
P20,vision_final,vision_final,class_7,5,0.986785888671875
P20,vision_final,vision_final,class_8,5,0.9505770802497864
P20,vision_final,vision_final,classes_7_8,10,0.9509145021438599
P20,vision_final,projected,global,50,0.9064922332763672
P20,vision_final,projected,class_7,5,0.9686616659164429
P20,vision_final,projected,class_8,5,0.9444329142570496
P20,vision_final,projected,classes_7_8,10,0.9541172981262207
P20,projected,vision_mid,global,50,0.2520180940628052
P20,projected,vision_mid,class_7,5,0.5450277328491211
P20,projected,vision_mid,class_8,5,0.840189516544342
P20,projected,vision_mid,classes_7_8,10,0.5523723363876343
P20,projected,vision_final,global,50,0.9115571975708008
P20,projected,vision_final,class_7,5,0.9773131012916565
P20,projected,vision_final,class_8,5,0.9538298845291138
P20,projected,vision_final,classes_7_8,10,0.9494965076446533
P20,projected,projected,global,50,0.9478523135185242
P20,projected,projected,class_7,5,0.9899157881736755
P20,projected,projected,class_8,5,0.9796251654624939
P20,projected,projected,classes_7_8,10,0.982789933681488
P21,vision_mid,vision_mid,global,50,0.9783196449279785
P21,vision_mid,vision_mid,class_7,5,0.9984724521636963
P21,vision_mid,vision_mid,class_8,5,0.995162308216095
P21,vision_mid,vision_mid,classes_7_8,10,0.9934563040733337
P21,vision_mid,vision_final,global,50,0.6558211445808411
P21,vision_mid,vision_final,class_7,5,0.9505072236061096
P21,vision_mid,vision_final,class_8,5,0.9522665143013
P21,vision_mid,vision_final,classes_7_8,10,0.8552194237709045
P21,vision_mid,projected,global,50,0.6592651605606079
P21,vision_mid,projected,class_7,5,0.9359017014503479
P21,vision_mid,projected,class_8,5,0.9518656730651855
P21,vision_mid,projected,classes_7_8,10,0.8656694889068604
P21,vision_final,vision_mid,global,50,0.6932432651519775
P21,vision_final,vision_mid,class_7,5,0.944297194480896
P21,vision_final,vision_mid,class_8,5,0.9670386910438538
P21,vision_final,vision_mid,classes_7_8,10,0.8613147735595703
P21,vision_final,vision_final,global,50,0.921113133430481
P21,vision_final,vision_final,class_7,5,0.9840223789215088
P21,vision_final,vision_final,class_8,5,0.9912784099578857
P21,vision_final,vision_final,classes_7_8,10,0.9871695637702942
P21,vision_final,projected,global,50,0.9059346914291382
P21,vision_final,projected,class_7,5,0.9691823124885559
P21,vision_final,projected,class_8,5,0.9735891222953796
P21,vision_final,projected,classes_7_8,10,0.9786248207092285
P21,projected,vision_mid,global,50,0.7114740610122681
P21,projected,vision_mid,class_7,5,0.9244256615638733
P21,projected,vision_mid,class_8,5,0.9644759893417358
P21,projected,vision_mid,classes_7_8,10,0.8661162853240967
P21,projected,vision_final,global,50,0.8969541788101196
P21,projected,vision_final,class_7,5,0.9885408282279968
P21,projected,vision_final,class_8,5,0.995732307434082
P21,projected,vision_final,classes_7_8,10,0.9735796451568604
P21,projected,projected,global,50,0.9171384572982788
P21,projected,projected,class_7,5,0.9830853939056396
P21,projected,projected,class_8,5,0.9911081194877625
P21,projected,projected,classes_7_8,10,0.9865959286689758
P22,vision_mid,vision_mid,global,50,0.9999737739562988
P22,vision_mid,vision_mid,class_7,5,0.9999913573265076
P22,vision_mid,vision_mid,class_8,5,0.9999964237213135
P22,vision_mid,vision_mid,classes_7_8,10,0.9999918937683105
P22,vision_mid,vision_final,global,50,0.5521090030670166
P22,vision_mid,vision_final,class_7,5,0.8544161319732666
P22,vision_mid,vision_final,class_8,5,0.8887361288070679
P22,vision_mid,vision_final,classes_7_8,10,0.7887041568756104
P22,vision_mid,projected,global,50,0.551034152507782
P22,vision_mid,projected,class_7,5,0.8637092709541321
P22,vision_mid,projected,class_8,5,0.904017984867096
P22,vision_mid,projected,classes_7_8,10,0.7827033400535583
P22,vision_final,vision_mid,global,50,0.5525819063186646
P22,vision_final,vision_mid,class_7,5,0.8543098568916321
