pair_id,objective,margin_kind,image_id,target_hit,proxy_target_gradient_cosine,proxy_target_sign_cosine,proxy_target_sign_agreement,proxy_directional_derivative,target_directional_derivative,target_clean_margin,target_actual_margin_change,target_adversarial_margin,target_gap_closure,decision_score_type
P21,cls_only,source_target,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,0.02341131493449211,0.02582908421754837,0.5129145383834839,75.09244537353516,5.499581813812256,-12.75,12.5,-0.25,0.9803921568627451,teacher_forced_closed_set
P21,cls_only,source_target,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,-0.001042479183524847,-0.005952381528913975,0.4970238208770752,7.879870891571045,2.427112102508545,-12.875,2.875,-10.0,0.22330097087378642,teacher_forced_closed_set
P21,cls_only,source_target,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,-3.0964554753154516e-05,0.0095796138048172,0.5047898292541504,18.763219833374023,17.57352066040039,-8.25,4.75,-3.5,0.5757575757575758,teacher_forced_closed_set
P21,cls_only,source_target,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,0.019112251698970795,0.017963437363505363,0.5089817047119141,2.029317855834961,-3.7685394287109375,-13.375,10.375,-3.0,0.7757009345794392,teacher_forced_closed_set
P21,cls_only,source_target,val/n03930630/ILSVRC2012_val_00039508.JPEG,0,0.026065785437822342,0.02161724492907524,0.5108086466789246,-3.9405157566070557,1.0260231494903564,-12.5,12.0,-0.5,0.96,teacher_forced_closed_set
P21,cls_only,source_target,val/n03930630/ILSVRC2012_val_00037136.JPEG,0,0.015145626850426197,0.02204241044819355,0.5110211968421936,3.8414368629455566,9.179767608642578,-10.5,11.875,1.375,1.130952380952381,teacher_forced_closed_set
P21,cls_only,source_target,val/n03930630/ILSVRC2012_val_00017708.JPEG,0,0.000367050408385694,0.010230655781924725,0.5051153302192688,31.879613876342773,7.8621368408203125,-12.625,13.375,0.75,1.0594059405940595,teacher_forced_closed_set
P21,cls_only,source_target,val/n03930630/ILSVRC2012_val_00049612.JPEG,0,0.041299983859062195,0.020129147917032242,0.5100646018981934,-9.949602127075195,7.175817012786865,-11.75,10.0,-1.75,0.851063829787234,teacher_forced_closed_set
P21,cls_only,robust,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,0.023838521912693977,0.026001809164881706,0.5130009055137634,75.32344818115234,5.522851943969727,-12.75,5.125,-7.625,0.4019607843137255,teacher_forced_closed_set
P21,cls_only,robust,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,-0.0011769435368478298,-0.0056335036642849445,0.497183233499527,7.548147678375244,2.4330976009368896,-12.875,2.875,-10.0,0.22330097087378642,teacher_forced_closed_set
P21,cls_only,robust,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,8.501706179231405e-05,0.010150936432182789,0.5050754547119141,18.835113525390625,17.91899871826172,-8.25,4.0,-4.25,0.48484848484848486,teacher_forced_closed_set
P21,cls_only,robust,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,0.019077308475971222,0.018162736669182777,0.5090813636779785,2.012463331222534,-3.8301851749420166,-13.375,10.375,-3.0,0.7757009345794392,teacher_forced_closed_set
P21,cls_only,robust,val/n03930630/ILSVRC2012_val_00039508.JPEG,0,0.026129387319087982,0.021258505061268806,0.5106292366981506,-3.707291603088379,1.016870141029358,-12.5,6.125,-6.375,0.49,teacher_forced_closed_set
P21,cls_only,robust,val/n03930630/ILSVRC2012_val_00037136.JPEG,0,0.015092193149030209,0.02145780622959137,0.5107288956642151,3.9826464653015137,9.200894355773926,-10.5,7.25,-3.25,0.6904761904761905,teacher_forced_closed_set
P21,cls_only,robust,val/n03930630/ILSVRC2012_val_00017708.JPEG,0,0.0004203078569844365,0.010469813831150532,0.5052348971366882,32.120635986328125,7.922657489776611,-12.625,7.375,-5.25,0.5841584158415841,teacher_forced_closed_set
P21,cls_only,robust,val/n03930630/ILSVRC2012_val_00049612.JPEG,0,0.041213374584913254,0.020766904577612877,0.5103834271430969,-9.727239608764648,6.835471153259277,-11.75,8.784591674804688,-2.9654078483581543,0.747624823387633,teacher_forced_closed_set
P21,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,0.02341131493449211,0.02582908421754837,0.5129145383834839,11.838029861450195,-0.2997797131538391,-12.75,10.5,-2.25,0.8235294117647058,teacher_forced_closed_set
P21,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,-0.001042479183524847,-0.005952381528913975,0.4970238208770752,19.66014289855957,0.8125194907188416,-12.875,5.5,-7.375,0.42718446601941745,teacher_forced_closed_set
P21,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,-3.0964554753154516e-05,0.0095796138048172,0.5047898292541504,4.2587385177612305,-10.652815818786621,-8.25,3.75,-4.5,0.45454545454545453,teacher_forced_closed_set
P21,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,0.019112251698970795,0.017963437363505363,0.5089817047119141,4.415307998657227,-4.724326133728027,-13.375,2.0,-11.375,0.14953271028037382,teacher_forced_closed_set
