pair_id,objective,margin_kind,image_count,target_hits,tasr_percent,untargeted_hits,untargeted_asr_percent,mean_clean_margin,mean_margin_change,mean_adversarial_margin,mean_gap_closure,median_gap_closure,boundary_crossing_count,decision_score_type
P20,cls_only,source_target,8,1,12.5,3,37.5,-8.09375,6.28125,-1.8125,0.7777413829790945,0.7485994397759104,2,teacher_forced_closed_set
P20,cls_only,robust,8,1,12.5,3,37.5,-8.09375,5.5638933181762695,-2.5298566818237305,0.6757364972171972,0.6468678380443087,1,teacher_forced_closed_set
P20,semantic_only,source_target,8,4,50.0,6,75.0,-8.09375,9.78125,1.6875,1.1994349576692445,1.1904761904761905,4,teacher_forced_closed_set
P20,semantic_only,robust,8,4,50.0,6,75.0,-8.09375,7.989063262939453,-0.10468655824661255,0.9753079602663803,0.9906247840208167,4,teacher_forced_closed_set
P20,target_cka_semantic,source_target,8,2,25.0,7,87.5,-8.09375,8.109375,0.015625014901161194,0.9538626051292248,0.9387254901960784,4,teacher_forced_closed_set
P20,target_cka_semantic,robust,8,2,25.0,7,87.5,-8.09375,6.422520160675049,-1.6712297201156616,0.7449380993388649,0.6860971417146571,2,teacher_forced_closed_set
P20,target_cka_only,source_target,8,1,12.5,4,50.0,-8.09375,6.03125,-2.0625,0.7388625135608415,0.6896103896103896,3,teacher_forced_closed_set
P20,target_cka_only,robust,8,1,12.5,4,50.0,-8.09375,4.611763954162598,-3.4819862842559814,0.5562611182103528,0.49529411764705883,1,teacher_forced_closed_set
P21,cls_only,source_target,8,0,0.0,6,75.0,-11.828125,9.71875,-2.109375,0.8195717236759026,0.905531914893617,2,teacher_forced_closed_set
P21,cls_only,robust,8,0,0.0,6,75.0,-11.828125,6.488698959350586,-5.339426040649414,0.5497588255401055,0.537079207920792,0,teacher_forced_closed_set
P21,semantic_only,source_target,8,0,0.0,5,62.5,-11.828125,8.875,-2.953125,0.7476544262938726,0.83729662077597,2,teacher_forced_closed_set
P21,semantic_only,robust,8,0,0.0,5,62.5,-11.828125,6.625,-5.203125,0.5529643490928753,0.668965110796794,0,teacher_forced_closed_set
P21,target_cka_semantic,source_target,8,0,0.0,2,25.0,-11.828125,5.640625,-6.1875,0.45698651279948427,0.5234593837535014,0,teacher_forced_closed_set
P21,target_cka_semantic,robust,8,0,0.0,2,25.0,-11.828125,5.09375,-6.734375,0.41347166131433577,0.4767208863743517,0,teacher_forced_closed_set
P21,target_cka_only,source_target,8,0,0.0,3,37.5,-11.828125,6.140625,-5.6875,0.5122935701712285,0.45296203587818107,1,teacher_forced_closed_set
P21,target_cka_only,robust,8,0,0.0,3,37.5,-11.828125,4.703125,-7.125,0.38981066116604224,0.4389564336372847,0,teacher_forced_closed_set
P22,cls_only,source_target,8,0,0.0,1,12.5,-15.05078125,7.64453125,-7.40625,0.4998064442338251,0.40766889404278606,0,teacher_forced_closed_set
P22,cls_only,robust,8,0,0.0,1,12.5,-15.05078125,6.69140625,-8.359375,0.3705691560982319,0.3264060609249224,0,teacher_forced_closed_set
P22,semantic_only,source_target,8,0,0.0,8,100.0,-15.05078125,14.37890625,-0.671875,0.9394533335906032,0.9629613140427387,1,teacher_forced_closed_set
P22,semantic_only,robust,8,0,0.0,8,100.0,-15.05078125,8.39453125,-6.65625,0.4727728952835627,0.5288694808345463,0,teacher_forced_closed_set
P22,target_cka_semantic,source_target,8,0,0.0,5,62.5,-15.05078125,10.61328125,-4.4375,0.7289700775072384,0.7797918454702488,1,teacher_forced_closed_set
P22,target_cka_semantic,robust,8,0,0.0,5,62.5,-15.05078125,7.95703125,-7.09375,0.48302085575324616,0.5162935891579108,0,teacher_forced_closed_set
P22,target_cka_only,source_target,8,0,0.0,2,25.0,-15.05078125,6.27734375,-8.7734375,0.39574533008243035,0.36551215917464996,0,teacher_forced_closed_set
P22,target_cka_only,robust,8,0,0.0,2,25.0,-15.05078125,5.93359375,-9.1171875,0.3722568460305284,0.35421272414640137,0,teacher_forced_closed_set
