pair_id,prompt_id,lambda_cka,effective_lambda_cka,rho,objective,source_weight,alpha,beta,reference_count,status,proxy_hits,proxy_denominator,proxy_hit_mask,proxy_gate_type,proxy_free_check_applicable,free_generation_hits,target_hits,target_denominator,target_hit_mask,target_hits_among_proxy_hits,proxy_hit_target_denominator,tasr_percent,untargeted_hits,proxy_min_margin,proxy_min_probability,cka_adv_source,cka_adv_reference,reference_cka_gain,source_cka_drop,grad_ml_l1,grad_cka_weighted_l1,grad_component_cosine,elapsed_seconds,error
P14,original,0.0,0.0,,cls_only,0.0,0.0,0.0,48,complete,8,8,"[True, True, True, True, True, True, True, True]",generative_strict,True,8,0,8,"[False, False, False, False, False, False, False, False]",0,8,0.0,6,7.764013767242432,0.9994144439697266,0.3264588713645935,0.2860168516635895,0.012228935956954956,0.6735411286354065,0.0,0.0,0.0,621.9900594460196,
P14,original,1.0,126.53093719482422,0.3,semantic_only,0.0,0.0,1.0,48,complete,8,8,"[True, True, True, True, True, True, True, True]",generative_strict,True,8,3,8,"[False, False, False, True, False, False, True, True]",3,8,37.5,6,3.961603879928589,0.9797391295433044,0.3283843398094177,0.28351691365242004,0.009728997945785522,0.6716156601905823,0.024328378960490227,0.007298513315618038,0.07537485659122467,647.2266149540083,
P14,original,1.0,33.408199310302734,0.3,target_cka_semantic,0.0,1.0,1.0,48,complete,7,8,"[False, True, True, True, True, True, True, True]",generative_strict,True,8,0,8,"[False, False, False, False, False, False, False, False]",0,7,0.0,3,3.125,0.8937632441520691,0.48129844665527344,0.4739950895309448,0.2002071738243103,0.5187015533447266,0.024333739653229713,0.007300122175365686,-0.11690209805965424,646.6246679039905,
P14,original,1.0,38.34079360961914,0.3,target_cka_only,0.0,1.0,0.0,48,complete,8,8,"[True, True, True, True, True, True, True, True]",generative_strict,True,8,0,8,"[False, False, False, False, False, False, False, False]",0,8,0.0,6,3.366689920425415,0.9173915386199951,0.49204638600349426,0.481156587600708,0.2073686718940735,0.5079536437988281,0.02436095103621483,0.007308285217732191,-0.15261419117450714,641.1406431509531,
P16,original,0.0,0.0,,cls_only,0.0,0.0,0.0,48,complete,4,8,"[True, False, False, False, True, True, True, False]",generative_strict,True,4,0,8,"[False, False, False, False, False, False, False, False]",0,4,0.0,1,24.661386489868164,1.0,0.5800174474716187,0.26443421840667725,-0.016270369291305542,0.41998255252838135,0.0,0.0,0.0,347.9293985529803,
P16,original,1.0,276.3082275390625,0.3,semantic_only,0.0,0.0,1.0,48,complete,8,8,"[True, True, True, True, True, True, True, True]",generative_strict,True,8,1,8,"[False, False, False, False, False, False, False, True]",1,8,12.5,3,6.395832061767578,0.9983183145523071,0.5896304845809937,0.27099722623825073,-0.009707361459732056,0.41036951541900635,0.030259929597377777,0.009077980183064938,-0.2868800163269043,402.4172265410307,
P16,original,1.0,211.0555877685547,0.3,target_cka_semantic,0.0,1.0,1.0,48,complete,8,8,"[True, True, True, True, True, True, True, True]",generative_strict,True,8,1,8,"[False, False, False, False, False, False, False, True]",1,8,12.5,2,4.001060962677002,0.977403998374939,0.5310122966766357,0.5041406154632568,0.22343602776527405,0.46898770332336426,0.03012966178357601,0.009038899093866348,-0.1364675760269165,402.64053412602516,
P16,original,1.0,327.1319885253906,0.3,target_cka_only,0.0,1.0,0.0,48,complete,8,8,"[True, True, True, True, True, True, True, True]",generative_strict,True,8,0,8,"[False, False, False, False, False, False, False, False]",0,8,0.0,1,3.982807159423828,0.9766831994056702,0.5235005021095276,0.5108205080032349,0.23011592030525208,0.4764994978904724,0.030207984149456024,0.009062396362423897,0.1775088757276535,402.79386480600806,
P19,original,0.0,0.0,,cls_only,0.0,0.0,0.0,48,complete,8,8,"[True, True, True, True, True, True, True, True]",generative_strict,True,8,4,8,"[False, False, True, True, False, True, False, True]",4,8,50.0,5,22.4375,1.0,0.6124844551086426,0.332437127828598,-0.037569642066955566,0.3875155448913574,0.0,0.0,0.0,1404.8415521049756,
P19,original,1.0,626.306396484375,0.3,semantic_only,0.0,0.0,1.0,48,complete,8,8,"[True, True, True, True, True, True, True, True]",generative_strict,True,8,2,8,"[False, True, False, False, False, True, False, False]",2,8,25.0,4,6.375112056732178,0.9982895255088806,0.5848625898361206,0.3227393329143524,-0.04726743698120117,0.4151374101638794,0.05399481952190399,0.016198446974158287,0.039584413170814514,1722.3241641490022,
P19,original,1.0,355.6183776855469,0.3,target_cka_only,0.0,1.0,0.0,48,complete,8,8,"[True, True, True, True, True, True, True, True]",generative_strict,True,8,0,8,"[False, False, False, False, False, False, False, False]",0,8,0.0,4,4.627477645874023,0.9899877905845642,0.6021147966384888,0.6044759750366211,0.2344692051410675,0.39788520336151123,0.054093774408102036,0.01622813381254673,-0.04003933444619179,1716.8944443569635,
