pair_id,prompt_id,lambda_cka,effective_lambda_cka,rho,objective,source_weight,alpha,beta,reference_count,status,proxy_hits,proxy_denominator,proxy_hit_mask,free_generation_hits,target_hits,target_denominator,target_hit_mask,target_hits_among_proxy_hits,proxy_hit_target_denominator,tasr_percent,untargeted_hits,proxy_min_margin,proxy_min_probability,cka_adv_source,cka_adv_reference,reference_cka_gain,source_cka_drop,grad_ml_l1,grad_cka_weighted_l1,grad_component_cosine,elapsed_seconds,error
P20,original,0.0,0.0,,cls_only,0.0,0.0,0.0,48,complete,8,8,"[True, True, True, True, True, True, True, True]",8,1,8,"[False, False, False, False, False, True, False, False]",1,8,12.5,3,9.975503921508789,0.9999490976333618,0.41937825083732605,0.28060564398765564,0.026241004467010498,0.5806217193603516,0.0,0.0,0.0,1368.0378816829761,
P20,original,1.0,107.82707977294922,0.3,semantic_only,0.0,0.0,1.0,48,complete,8,8,"[True, True, True, True, True, True, True, True]",8,4,8,"[False, False, False, True, True, True, False, True]",4,8,50.0,6,4.493553638458252,0.9859064817428589,0.37451571226119995,0.23563943803310394,-0.0187252014875412,0.6254842877388,0.012505590915679932,0.003751677693799138,-0.10435695946216583,1416.9463704290101,
P20,original,1.0,9.577832221984863,0.3,target_cka_semantic,0.0,1.0,1.0,48,complete,8,8,"[True, True, True, True, True, True, True, True]",8,2,8,"[False, False, False, True, False, False, True, False]",2,8,25.0,7,4.343986988067627,0.9840981364250183,0.5019505620002747,0.4674895703792572,0.21312493085861206,0.49804943799972534,0.012561776675283909,0.0037685337010771036,-0.1479150801897049,1406.0902705960034,
P20,original,1.0,9.895806312561035,0.3,target_cka_only,0.0,1.0,0.0,48,complete,8,8,"[True, True, True, True, True, True, True, True]",8,1,8,"[False, False, False, False, False, False, False, True]",1,8,12.5,4,4.607395648956299,0.9867516756057739,0.5021708011627197,0.4807363748550415,0.22637173533439636,0.4978291988372803,0.012532632797956467,0.0037597904447466135,-0.14454901218414307,1410.3294505949889,
P21,original,0.0,0.0,,cls_only,0.0,0.0,0.0,48,complete,8,8,"[True, True, True, True, True, True, True, True]",8,0,8,"[False, False, False, False, False, False, False, False]",0,8,0.0,6,23.305126190185547,1.0,0.564023494720459,0.2625938355922699,-0.030050545930862427,0.435976505279541,0.0,0.0,0.0,690.9421443899919,
P21,original,1.0,282.6670227050781,0.3,semantic_only,0.0,0.0,1.0,48,complete,8,8,"[True, True, True, True, True, True, True, True]",8,0,8,"[False, False, False, False, False, False, False, False]",0,8,0.0,5,7.683043479919434,0.9995352029800415,0.5847423076629639,0.2783427834510803,-0.014301598072052002,0.41525769233703613,0.02798185870051384,0.008394557982683182,0.16878917813301086,751.7124500659993,
P21,original,1.0,196.37957763671875,0.3,target_cka_semantic,0.0,1.0,1.0,48,complete,8,8,"[True, True, True, True, True, True, True, True]",8,0,8,"[False, False, False, False, False, False, False, False]",0,8,0.0,2,5.5200419425964355,0.9950351715087891,0.5331040620803833,0.527336061000824,0.23469167947769165,0.4668959379196167,0.027947457507252693,0.008384237997233868,0.09585149586200714,752.4786470269901,
P21,original,1.0,325.14447021484375,0.3,target_cka_only,0.0,1.0,0.0,48,complete,8,8,"[True, True, True, True, True, True, True, True]",8,0,8,"[False, False, False, False, False, False, False, False]",0,8,0.0,3,4.9007487297058105,0.9879257678985596,0.5272692441940308,0.5331225395202637,0.24047815799713135,0.47273075580596924,0.028018640354275703,0.0084055932238698,-0.05793396383523941,754.7232405060204,
P22,original,0.0,0.0,,cls_only,0.0,0.0,0.0,48,complete,8,8,"[True, True, True, True, True, True, True, True]",8,0,8,"[False, False, False, False, False, False, False, False]",0,8,0.0,1,25.513671875,1.0,0.638940691947937,0.35359734296798706,-0.03730064630508423,0.361059308052063,0.0,0.0,0.0,1677.6521025160037,
P22,original,1.0,457.72210693359375,0.3,semantic_only,0.0,0.0,1.0,48,complete,8,8,"[True, True, True, True, True, True, True, True]",8,0,8,"[False, False, False, False, False, False, False, False]",0,8,0.0,8,6.733127117156982,0.9988049268722534,0.6195223331451416,0.3503883481025696,-0.04050964117050171,0.3804776668548584,0.03798962011933327,0.011396885849535465,0.032299917191267014,1986.619123137003,
P22,original,1.0,231.3929901123047,0.3,target_cka_semantic,0.0,1.0,1.0,48,complete,8,8,"[True, True, True, True, True, True, True, True]",8,0,8,"[False, False, False, False, False, False, False, False]",0,8,0.0,5,6.0371785163879395,0.9975956082344055,0.6403800249099731,0.6039891242980957,0.21309113502502441,0.35961997509002686,0.03802958503365517,0.01140887662768364,0.056251659989356995,1988.5160836860014,
P22,original,1.0,262.1597900390625,0.3,target_cka_only,0.0,1.0,0.0,48,complete,8,8,"[True, True, True, True, True, True, True, True]",8,0,8,"[False, False, False, False, False, False, False, False]",0,8,0.0,2,5.909206867218018,0.9966096878051758,0.6270009279251099,0.6153746843338013,0.22447669506072998,0.37299907207489014,0.03804820030927658,0.01141445990651846,0.04199614003300667,1985.4837844959984,
