pair_id,transition_id,source,target,common_clean_count,selected_count
P14,T01,1,4,50,8
P14,T02,2,5,50,8
P14,T03,3,6,50,8
P14,T04,4,7,50,8
P14,T05,5,8,49,8
P14,T06,6,9,50,8
P14,T07,7,10,50,8
P14,T08,8,1,50,8
P14,T09,9,2,50,8
P14,T10,10,3,50,8
P16,T01,1,4,50,8
P16,T02,2,5,50,8
P16,T03,3,6,50,8
P16,T04,4,7,50,8
P16,T05,5,8,49,8
P16,T06,6,9,50,8
P16,T07,7,10,50,8
P16,T08,8,1,48,8
P16,T09,9,2,50,8
P16,T10,10,3,50,8
P19,T01,1,4,50,8
P19,T02,2,5,50,8
P19,T03,3,6,50,8
P19,T04,4,7,50,8
P19,T05,5,8,49,8
P19,T06,6,9,50,8
P19,T07,7,10,50,8
P19,T08,8,1,49,8
P19,T09,9,2,50,8
P19,T10,10,3,50,8
