pair_id,proxy_model,transition_id,source_label,source_name,target_label,target_name,prototype_cosine,prototype_cosine_distance
P14,Qwen/Qwen3.5-2B,T01,1,goldfish,4,acoustic guitar,0.7504684925079346,0.24953150749206543
P14,Qwen/Qwen3.5-2B,T02,2,monarch butterfly,5,laptop,0.7621979713439941,0.23780202865600586
P14,Qwen/Qwen3.5-2B,T03,3,pineapple,6,espresso,0.733991265296936,0.26600873470306396
P14,Qwen/Qwen3.5-2B,T04,4,acoustic guitar,7,volcano,0.759563684463501,0.24043631553649902
P14,Qwen/Qwen3.5-2B,T05,5,laptop,8,rocking chair,0.8973876237869263,0.10261237621307373
P14,Qwen/Qwen3.5-2B,T06,6,espresso,9,soccer ball,0.8636289834976196,0.13637101650238037
P14,Qwen/Qwen3.5-2B,T07,7,volcano,10,school bus,0.805171012878418,0.19482898712158203
P14,Qwen/Qwen3.5-2B,T08,8,rocking chair,1,goldfish,0.7537871599197388,0.24621284008026123
P14,Qwen/Qwen3.5-2B,T09,9,soccer ball,2,monarch butterfly,0.751150906085968,0.24884909391403198
P14,Qwen/Qwen3.5-2B,T10,10,school bus,3,pineapple,0.7504522800445557,0.24954771995544434
P16,OpenGVLab/InternVL3_5-2B-HF,T01,1,goldfish,4,acoustic guitar,0.7273386120796204,0.27266138792037964
P16,OpenGVLab/InternVL3_5-2B-HF,T02,2,monarch butterfly,5,laptop,0.7470834255218506,0.2529165744781494
P16,OpenGVLab/InternVL3_5-2B-HF,T03,3,pineapple,6,espresso,0.7366321086883545,0.2633678913116455
P16,OpenGVLab/InternVL3_5-2B-HF,T04,4,acoustic guitar,7,volcano,0.6888332366943359,0.31116676330566406
P16,OpenGVLab/InternVL3_5-2B-HF,T05,5,laptop,8,rocking chair,0.8383616805076599,0.1616383194923401
P16,OpenGVLab/InternVL3_5-2B-HF,T06,6,espresso,9,soccer ball,0.8270432949066162,0.1729567050933838
P16,OpenGVLab/InternVL3_5-2B-HF,T07,7,volcano,10,school bus,0.7248263359069824,0.2751736640930176
P16,OpenGVLab/InternVL3_5-2B-HF,T08,8,rocking chair,1,goldfish,0.7583553791046143,0.24164462089538574
P16,OpenGVLab/InternVL3_5-2B-HF,T09,9,soccer ball,2,monarch butterfly,0.7672930955886841,0.23270690441131592
P16,OpenGVLab/InternVL3_5-2B-HF,T10,10,school bus,3,pineapple,0.7580505609512329,0.2419494390487671
P19,google/gemma-4-E2B-it,T01,1,goldfish,4,acoustic guitar,0.9830736517906189,0.016926348209381104
P19,google/gemma-4-E2B-it,T02,2,monarch butterfly,5,laptop,0.9776841998100281,0.022315800189971924
P19,google/gemma-4-E2B-it,T03,3,pineapple,6,espresso,0.9738027453422546,0.02619725465774536
P19,google/gemma-4-E2B-it,T04,4,acoustic guitar,7,volcano,0.9817302227020264,0.018269777297973633
P19,google/gemma-4-E2B-it,T05,5,laptop,8,rocking chair,0.9904637336730957,0.009536266326904297
P19,google/gemma-4-E2B-it,T06,6,espresso,9,soccer ball,0.9886429309844971,0.01135706901550293
P19,google/gemma-4-E2B-it,T07,7,volcano,10,school bus,0.9806041121482849,0.019395887851715088
P19,google/gemma-4-E2B-it,T08,8,rocking chair,1,goldfish,0.9819927215576172,0.018007278442382812
P19,google/gemma-4-E2B-it,T09,9,soccer ball,2,monarch butterfly,0.9811617732048035,0.018838226795196533
P19,google/gemma-4-E2B-it,T10,10,school bus,3,pineapple,0.9741429090499878,0.025857090950012207
