pair_id,transition_id,source_human_label,target_human_label,arm,semantic_mode,steps,step_size,rho,semantic_temperature,target_logit_weight,source_logit_weight,proxy_hits,proxy_denominator,tasr_hits,tasr_denominator,tasr_percent,asr_hits,asr_percent,semantic_gap_clean,semantic_gap_adversarial,semantic_gap_gain,effective_lambda,elapsed_seconds
P14,T01,1,4,multi_ext_rho025,multiclass_prototype,50,0.00392156862745098,0.25,0.1,1.0,1.0,8,8,6,8,75.0,6,75.0,-0.23712368309497833,0.31088924407958984,0.548012912273407,7.481637477874756,219.38120044599054
P14,T01,1,4,multi_ext_rho050,multiclass_prototype,50,0.00392156862745098,0.5,0.1,1.0,1.0,7,8,6,8,75.0,6,75.0,-0.23712368309497833,0.3069625794887543,0.5440862774848938,15.204479217529297,206.60210414003814
P14,T01,1,4,multi_ext_rho100,multiclass_prototype,50,0.00392156862745098,1.0,0.1,1.0,1.0,8,8,7,8,87.5,7,87.5,-0.23712368309497833,0.3520354628562927,0.5891591310501099,30.17952537536621,204.9095234849956
P14,T01,1,4,multi_ext_tau020_rho050,multiclass_prototype,50,0.00392156862745098,0.5,0.2,1.0,1.0,8,8,6,8,75.0,6,75.0,-0.23712368309497833,0.35464930534362793,0.5917729735374451,53.61004638671875,207.39629770204192
P14,T01,1,4,p14_ext_baseline,prototype,50,0.00392156862745098,0.5,0.1,1.0,0.75,5,8,5,8,62.5,5,62.5,-0.23712371289730072,0.25360438227653503,0.49072808027267456,16.360065460205078,207.98888109298423
P14,T01,1,4,p14_ext_push025,prototype,50,0.00392156862745098,0.5,0.1,1.0,0.25,7,8,5,8,62.5,5,62.5,-0.23712371289730072,0.1824122816324234,0.4195359945297241,218.9298095703125,201.08811529900413
P14,T01,1,4,p14_ext_push050,prototype,50,0.00392156862745098,0.5,0.1,1.0,0.5,5,8,5,8,62.5,6,75.0,-0.23712371289730072,0.1620219647884369,0.3991456627845764,45.469383239746094,203.34403963503428
P14,T01,1,4,p14_ext_rho035_push050,prototype,50,0.00392156862745098,0.35,0.1,1.0,0.5,4,8,4,8,50.0,4,50.0,-0.23712371289730072,0.13205154240131378,0.3691752552986145,31.83679962158203,201.7918067149585
P14,T01,1,4,p14_ext_rho075_push050,prototype,50,0.00392156862745098,0.75,0.1,1.0,0.5,7,8,4,8,50.0,5,62.5,-0.23712371289730072,0.20784059166908264,0.44496428966522217,67.63667297363281,201.51379157503834
P14,T01,1,4,p14_ext_tau020_push050,prototype,50,0.00392156862745098,0.5,0.2,1.0,0.5,6,8,5,8,62.5,5,62.5,-0.23712371289730072,0.18898829817771912,0.42611199617385864,41.997886657714844,200.85935053200228
