pair_id,transition_id,source,target,common_clean_count,selected_count
P14,T01,1,4,64,50
P16,T01,1,4,64,50
P19,T01,1,4,64,50
P14,T02,2,5,64,50
P16,T02,2,5,64,50
P19,T02,2,5,64,50
P14,T03,3,6,64,50
P16,T03,3,6,64,50
P19,T03,3,6,64,50
P14,T04,4,7,63,50
P16,T04,4,7,63,50
P19,T04,4,7,63,50
P14,T05,5,8,61,50
P16,T05,5,8,61,50
P19,T05,5,8,61,50
P14,T06,6,9,64,50
P16,T06,6,9,64,50
P19,T06,6,9,64,50
P14,T07,7,10,64,50
P16,T07,7,10,64,50
P19,T07,7,10,64,50
P14,T08,8,1,61,50
P16,T08,8,1,61,50
P19,T08,8,1,61,50
P14,T09,9,2,64,50
P16,T09,9,2,64,50
P19,T09,9,2,64,50
P14,T10,10,3,64,50
P16,T10,10,3,64,50
P19,T10,10,3,64,50
