scope,metric,outcome,cell_count,spearman,permutation_p
P16,proxy_selected_distance,tasr_percent,10,0.03658604599914625,0.923270767292327
P19,proxy_selected_distance,tasr_percent,10,-0.7781190959104827,0.01147988520114799
P14,proxy_selected_distance,tasr_percent,10,-0.4909090909090909,0.15449845501544984
within_pair_stratified,proxy_selected_distance,tasr_percent,30,-0.41134941789017704,0.03046969530304697
P16,proxy_selected_distance,asr_percent,10,0.11657319263657127,0.7542624573754263
P19,proxy_selected_distance,asr_percent,10,-0.6808542089216723,0.035589644103558964
P14,proxy_selected_distance,asr_percent,10,-0.35258521533443743,0.3186968130318697
within_pair_stratified,proxy_selected_distance,asr_percent,30,-0.3069162747706158,0.1127088729112709
P16,proxy_selected_distance,conditional_tasr_percent,10,0.03658604599914625,0.923270767292327
P19,proxy_selected_distance,conditional_tasr_percent,10,-0.7781190959104827,0.01147988520114799
P14,proxy_selected_distance,conditional_tasr_percent,10,-0.4666666666666667,0.17765822341776583
within_pair_stratified,proxy_selected_distance,conditional_tasr_percent,30,-0.4032440106411095,0.03420965790342097
P16,proxy_selected_distance,semantic_gap_gain,10,0.9515151515151515,0.00010999890001099989
P19,proxy_selected_distance,semantic_gap_gain,10,0.9272727272727272,0.00027999720002799973
P14,proxy_selected_distance,semantic_gap_gain,10,0.9272727272727272,0.00034999650003499967
within_pair_stratified,proxy_selected_distance,semantic_gap_gain,30,0.9353535353535354,9.99990000099999e-06
P16,proxy_projected_distance,tasr_percent,10,-0.21341860166168647,0.5516044839551605
P19,proxy_projected_distance,tasr_percent,10,-0.8267515394048878,0.0052799472005279945
P14,proxy_projected_distance,tasr_percent,10,-0.5757575757575758,0.08792912070879291
within_pair_stratified,proxy_projected_distance,tasr_percent,30,-0.5390095820629907,0.003159968400315997
P16,proxy_projected_distance,asr_percent,10,-0.1533857797849622,0.6798932010679893
P19,proxy_projected_distance,asr_percent,10,-0.7659609850368814,0.013369866301336986
P14,proxy_projected_distance,asr_percent,10,-0.3039527718400323,0.3920360796392036
within_pair_stratified,proxy_projected_distance,asr_percent,30,-0.4085441803237998,0.03130968690313097
P16,proxy_projected_distance,conditional_tasr_percent,10,-0.21341860166168647,0.5516044839551605
P19,proxy_projected_distance,conditional_tasr_percent,10,-0.8267515394048878,0.0052799472005279945
P14,proxy_projected_distance,conditional_tasr_percent,10,-0.4666666666666667,0.1789682103178968
within_pair_stratified,proxy_projected_distance,conditional_tasr_percent,30,-0.5025352494421867,0.006569934300656994
P16,proxy_projected_distance,semantic_gap_gain,10,0.8303030303030303,0.004509954900450995
P19,proxy_projected_distance,semantic_gap_gain,10,0.8545454545454545,0.002829971700282997
P14,proxy_projected_distance,semantic_gap_gain,10,0.2727272727272727,0.44471555284447156
within_pair_stratified,proxy_projected_distance,semantic_gap_gain,30,0.6525252525252525,0.00033999660003399966
P16,target_projected_distance,tasr_percent,10,-0.09146511499786562,0.8050519494805052
P19,target_projected_distance,tasr_percent,10,-0.8267515394048878,0.0052799472005279945
P14,target_projected_distance,tasr_percent,10,-0.793939393939394,0.008699913000869992
within_pair_stratified,target_projected_distance,tasr_percent,30,-0.5714312110592608,0.0016199838001619985
P16,target_projected_distance,asr_percent,10,-0.14111491740216522,0.7045529544704553
P19,target_projected_distance,asr_percent,10,-0.7659609850368814,0.013369866301336986
P14,target_projected_distance,asr_percent,10,-0.6200636545536659,0.06219937800621994
within_pair_stratified,target_projected_distance,asr_percent,30,-0.5101720858769838,0.006059939400605994
P16,target_projected_distance,conditional_tasr_percent,10,-0.09146511499786562,0.8050519494805052
P19,target_projected_distance,conditional_tasr_percent,10,-0.8267515394048878,0.0052799472005279945
P14,target_projected_distance,conditional_tasr_percent,10,-0.7333333333333333,0.02054979450205498
within_pair_stratified,target_projected_distance,conditional_tasr_percent,30,-0.5511676929365918,0.002629973700262997
P16,target_projected_distance,semantic_gap_gain,10,0.8666666666666667,0.0023199768002319975
P19,target_projected_distance,semantic_gap_gain,10,0.8545454545454545,0.002829971700282997
P14,target_projected_distance,semantic_gap_gain,10,0.11515151515151516,0.7599624003759963
within_pair_stratified,target_projected_distance,semantic_gap_gain,30,0.6121212121212121,0.0007199928000719992
P16,prototype_distance_abs_gap,tasr_percent,10,0.17073488132934916,0.6390736092639073
P19,prototype_distance_abs_gap,tasr_percent,10,-0.38905954795524134,0.2661673383266167
P14,prototype_distance_abs_gap,tasr_percent,10,-0.5151515151515151,0.13446865531344687
within_pair_stratified,prototype_distance_abs_gap,tasr_percent,30,-0.24518856928429272,0.2099579004209958
P16,prototype_distance_abs_gap,asr_percent,10,0.11657319263657127,0.7572324276757233
P19,prototype_distance_abs_gap,asr_percent,10,-0.43161293601284584,0.21367786322136778
P14,prototype_distance_abs_gap,asr_percent,10,-0.20668788485122194,0.5648543514564854
within_pair_stratified,prototype_distance_abs_gap,asr_percent,30,-0.17479999755147652,0.3752362476375236
P16,prototype_distance_abs_gap,conditional_tasr_percent,10,0.17073488132934916,0.6390736092639073
P19,prototype_distance_abs_gap,conditional_tasr_percent,10,-0.38905954795524134,0.2661673383266167
P14,prototype_distance_abs_gap,conditional_tasr_percent,10,-0.40606060606060607,0.24967750322496776
within_pair_stratified,prototype_distance_abs_gap,conditional_tasr_percent,30,-0.20871423666348884,0.28673713262867373
P16,prototype_distance_abs_gap,semantic_gap_gain,10,0.7333333333333333,0.01989980100198998
P19,prototype_distance_abs_gap,semantic_gap_gain,10,0.5393939393939394,0.11232887671123289
P14,prototype_distance_abs_gap,semantic_gap_gain,10,0.40606060606060607,0.24483755162448376
within_pair_stratified,prototype_distance_abs_gap,semantic_gap_gain,30,0.5595959595959596,0.0024799752002479976
P16,prototype_distance_ratio_target_proxy,tasr_percent,10,0.23171162466125958,0.5174248257517425
P19,prototype_distance_ratio_target_proxy,tasr_percent,10,-0.1458973304832155,0.6882531174688253
P14,prototype_distance_ratio_target_proxy,tasr_percent,10,0.2727272727272727,0.44899551004489957
within_pair_stratified,prototype_distance_ratio_target_proxy,tasr_percent,30,0.11955475692374604,0.5475545244547555
P16,prototype_distance_ratio_target_proxy,asr_percent,10,0.19019836693335312,0.6026039739602604
P19,prototype_distance_ratio_target_proxy,asr_percent,10,-0.24924127290882647,0.4834651653483465
P14,prototype_distance_ratio_target_proxy,asr_percent,10,-0.012158110873601292,0.979490205097949
within_pair_stratified,prototype_distance_ratio_target_proxy,asr_percent,30,-0.024390697332764166,0.9060109398906011
P16,prototype_distance_ratio_target_proxy,conditional_tasr_percent,10,0.23171162466125958,0.5174248257517425
P19,prototype_distance_ratio_target_proxy,conditional_tasr_percent,10,-0.1458973304832155,0.6882531174688253
P14,prototype_distance_ratio_target_proxy,conditional_tasr_percent,10,0.17575757575757575,0.6339536604633954
within_pair_stratified,prototype_distance_ratio_target_proxy,conditional_tasr_percent,30,0.08713312792747592,0.6622633773662263
P16,prototype_distance_ratio_target_proxy,semantic_gap_gain,10,-0.07878787878787878,0.8384616153838461
P19,prototype_distance_ratio_target_proxy,semantic_gap_gain,10,0.3090909090909091,0.3863561364386356
P14,prototype_distance_ratio_target_proxy,semantic_gap_gain,10,-0.3696969696969697,0.2937770622293777
within_pair_stratified,prototype_distance_ratio_target_proxy,semantic_gap_gain,30,-0.046464646464646465,0.8202017979820202
P16,proxy_distance_percentile,tasr_percent,10,-0.21341860166168647,0.5516044839551605
P19,proxy_distance_percentile,tasr_percent,10,-0.8267515394048878,0.0052799472005279945
P14,proxy_distance_percentile,tasr_percent,10,-0.5757575757575758,0.08792912070879291
within_pair_stratified,proxy_distance_percentile,tasr_percent,30,-0.5390095820629907,0.003159968400315997
P16,proxy_distance_percentile,asr_percent,10,-0.1533857797849622,0.6798932010679893
P19,proxy_distance_percentile,asr_percent,10,-0.7659609850368814,0.013369866301336986
P14,proxy_distance_percentile,asr_percent,10,-0.3039527718400323,0.3920360796392036
within_pair_stratified,proxy_distance_percentile,asr_percent,30,-0.4085441803237998,0.03130968690313097
P16,proxy_distance_percentile,conditional_tasr_percent,10,-0.21341860166168647,0.5516044839551605
P19,proxy_distance_percentile,conditional_tasr_percent,10,-0.8267515394048878,0.0052799472005279945
P14,proxy_distance_percentile,conditional_tasr_percent,10,-0.4666666666666667,0.1789682103178968
within_pair_stratified,proxy_distance_percentile,conditional_tasr_percent,30,-0.5025352494421867,0.006569934300656994
P16,proxy_distance_percentile,semantic_gap_gain,10,0.8303030303030303,0.004509954900450995
P19,proxy_distance_percentile,semantic_gap_gain,10,0.8545454545454545,0.002829971700282997
P14,proxy_distance_percentile,semantic_gap_gain,10,0.2727272727272727,0.44471555284447156
within_pair_stratified,proxy_distance_percentile,semantic_gap_gain,30,0.6525252525252525,0.00033999660003399966
P16,target_distance_percentile,tasr_percent,10,-0.09146511499786562,0.8050519494805052
P19,target_distance_percentile,tasr_percent,10,-0.8267515394048878,0.0052799472005279945
P14,target_distance_percentile,tasr_percent,10,-0.772040040473682,0.01119988800111999
within_pair_stratified,target_distance_percentile,tasr_percent,30,-0.5638956833730305,0.0019199808001919981
P16,target_distance_percentile,asr_percent,10,-0.14111491740216522,0.7045529544704553
P19,target_distance_percentile,asr_percent,10,-0.7659609850368814,0.013369866301336986
P14,target_distance_percentile,asr_percent,10,-0.6036585365853658,0.06995930040699593
within_pair_stratified,target_distance_percentile,asr_percent,30,-0.5045843503808656,0.006589934100658994
P16,target_distance_percentile,conditional_tasr_percent,10,-0.09146511499786562,0.8050519494805052
P19,target_distance_percentile,conditional_tasr_percent,10,-0.8267515394048878,0.0052799472005279945
P14,target_distance_percentile,conditional_tasr_percent,10,-0.7112494861056755,0.025279747202527975
within_pair_stratified,target_distance_percentile,conditional_tasr_percent,30,-0.5436116659855115,0.003109968900310997
P16,target_distance_percentile,semantic_gap_gain,10,0.8666666666666667,0.0023199768002319975
P19,target_distance_percentile,semantic_gap_gain,10,0.8545454545454545,0.002829971700282997
P14,target_distance_percentile,semantic_gap_gain,10,0.10942299786241162,0.7663723362766373
within_pair_stratified,target_distance_percentile,semantic_gap_gain,30,0.6107182090550991,0.0006899931000689993
P16,proxy_source_dispersion,tasr_percent,10,0.439032551989755,0.2040979590204098
P19,proxy_source_dispersion,tasr_percent,10,0.0790277206784084,0.8303216967830321
P14,proxy_source_dispersion,tasr_percent,10,0.47878787878787876,0.16491835081649184
within_pair_stratified,proxy_source_dispersion,tasr_percent,30,0.33232169721176863,0.08639913600863991
P16,proxy_source_dispersion,asr_percent,10,0.3497195779097138,0.32482675173248265
P19,proxy_source_dispersion,asr_percent,10,-0.08510677611520903,0.8198418015819842
P14,proxy_source_dispersion,asr_percent,10,0.3465061598976368,0.32241677583224165
within_pair_stratified,proxy_source_dispersion,asr_percent,30,0.20325581110636806,0.3015169848301517
P16,proxy_source_dispersion,conditional_tasr_percent,10,0.439032551989755,0.2040979590204098
P19,proxy_source_dispersion,conditional_tasr_percent,10,0.0790277206784084,0.8303216967830321
P14,proxy_source_dispersion,conditional_tasr_percent,10,0.4666666666666667,0.17824821751782483
within_pair_stratified,proxy_source_dispersion,conditional_tasr_percent,30,0.3282689935872349,0.0909690903090969
P16,proxy_source_dispersion,semantic_gap_gain,10,-0.40606060606060607,0.24892751072489275
P19,proxy_source_dispersion,semantic_gap_gain,10,0.006060606060606061,1.0
P14,proxy_source_dispersion,semantic_gap_gain,10,-0.34545454545454546,0.3294767052329477
within_pair_stratified,proxy_source_dispersion,semantic_gap_gain,30,-0.24848484848484848,0.2036179638203618
P16,proxy_target_dispersion,tasr_percent,10,-0.5183023183212385,0.13034869651303488
P19,proxy_target_dispersion,tasr_percent,10,0.018237166310401936,0.966070339296607
P14,proxy_target_dispersion,tasr_percent,10,0.2,0.5827941720582794
within_pair_stratified,proxy_target_dispersion,tasr_percent,30,-0.09929123880107722,0.6156838431615684
P16,proxy_target_dispersion,asr_percent,10,-0.3251778531441199,0.3639163608363916
P19,proxy_target_dispersion,asr_percent,10,0.10334394242561097,0.7776822231777683
P14,proxy_target_dispersion,asr_percent,10,0.18237166310401937,0.6098339016609834
within_pair_stratified,proxy_target_dispersion,asr_percent,30,-0.012195348666382083,0.954170458295417
P16,proxy_target_dispersion,conditional_tasr_percent,10,-0.5183023183212385,0.13034869651303488
P19,proxy_target_dispersion,conditional_tasr_percent,10,0.018237166310401936,0.966070339296607
P14,proxy_target_dispersion,conditional_tasr_percent,10,0.1393939393939394,0.7058529414705853
within_pair_stratified,proxy_target_dispersion,conditional_tasr_percent,30,-0.11955475692374604,0.5447845521544784
P16,proxy_target_dispersion,semantic_gap_gain,10,-0.16363636363636364,0.6558634413655864
P19,proxy_target_dispersion,semantic_gap_gain,10,-0.3333333333333333,0.34967650323496763
P14,proxy_target_dispersion,semantic_gap_gain,10,-0.6606060606060606,0.04351956480435196
within_pair_stratified,proxy_target_dispersion,semantic_gap_gain,30,-0.38585858585858585,0.04377956220437795
P16,target_source_dispersion,tasr_percent,10,0.4878139466552834,0.15353846461535384
P19,target_source_dispersion,tasr_percent,10,0.0790277206784084,0.8303216967830321
P14,target_source_dispersion,tasr_percent,10,0.5151515151515151,0.13299867001329987
within_pair_stratified,target_source_dispersion,tasr_percent,30,0.360690622583505,0.06123938760612394
P16,target_source_dispersion,asr_percent,10,0.3865321650581048,0.2727072729272707
P19,target_source_dispersion,asr_percent,10,-0.08510677611520903,0.8198418015819842
P14,target_source_dispersion,asr_percent,10,0.48632443494405164,0.15581844181558185
within_pair_stratified,target_source_dispersion,asr_percent,30,0.2621999963272148,0.1784082159178408
P16,target_source_dispersion,conditional_tasr_percent,10,0.4878139466552834,0.15353846461535384
P19,target_source_dispersion,conditional_tasr_percent,10,0.0790277206784084,0.8303216967830321
P14,target_source_dispersion,conditional_tasr_percent,10,0.5393939393939394,0.11391886081139188
within_pair_stratified,target_source_dispersion,conditional_tasr_percent,30,0.36879602983257254,0.054899451005489944
P16,target_source_dispersion,semantic_gap_gain,10,-0.22424242424242424,0.5361646383536165
P19,target_source_dispersion,semantic_gap_gain,10,0.006060606060606061,1.0
P14,target_source_dispersion,semantic_gap_gain,10,-0.3575757575757576,0.3108768912310877
within_pair_stratified,target_source_dispersion,semantic_gap_gain,30,-0.1919191919191919,0.3306366936330637
P16,target_target_dispersion,tasr_percent,10,-0.28659069365997897,0.4215157848421516
P19,target_target_dispersion,tasr_percent,10,0.018237166310401936,0.966070339296607
P14,target_target_dispersion,tasr_percent,10,0.06666666666666667,0.8650213497865021
within_pair_stratified,target_target_dispersion,tasr_percent,30,-0.0668696098048071,0.7369326306736933
P16,target_target_dispersion,asr_percent,10,-0.12884405501936824,0.7287227127728723
P19,target_target_dispersion,asr_percent,10,0.10334394242561097,0.7776822231777683
P14,target_target_dispersion,asr_percent,10,0.030395277184003228,0.938910610893891
within_pair_stratified,target_target_dispersion,asr_percent,30,0.0020325581110636807,0.995780042199578
P16,target_target_dispersion,conditional_tasr_percent,10,-0.28659069365997897,0.4215157848421516
P19,target_target_dispersion,conditional_tasr_percent,10,0.018237166310401936,0.966070339296607
P14,target_target_dispersion,conditional_tasr_percent,10,0.006060606060606061,1.0
within_pair_stratified,target_target_dispersion,conditional_tasr_percent,30,-0.08713312792747592,0.6607133928660713
P16,target_target_dispersion,semantic_gap_gain,10,-0.030303030303030304,0.945990540094599
P19,target_target_dispersion,semantic_gap_gain,10,-0.3333333333333333,0.34967650323496763
P14,target_target_dispersion,semantic_gap_gain,10,-0.5878787878787879,0.08079919200807992
within_pair_stratified,target_target_dispersion,semantic_gap_gain,30,-0.31717171717171716,0.1008689913100869
P16,proxy_source_effective_rank,tasr_percent,10,0.10975813799743875,0.7630323696763033
P19,proxy_source_effective_rank,tasr_percent,10,0.4924034903808523,0.15173848261517384
P14,proxy_source_effective_rank,tasr_percent,10,0.4666666666666667,0.17966820331796682
within_pair_stratified,proxy_source_effective_rank,tasr_percent,30,0.35663791895897123,0.06304936950630494
P16,proxy_source_effective_rank,asr_percent,10,0.06748974310538337,0.8635513644863552
P19,proxy_source_effective_rank,asr_percent,10,0.6261427099904665,0.05844941550584494
P14,proxy_source_effective_rank,asr_percent,10,0.2674784392192284,0.4526454735452645
within_pair_stratified,proxy_source_effective_rank,asr_percent,30,0.3211441815480615,0.0967990320096799
P16,proxy_source_effective_rank,conditional_tasr_percent,10,0.10975813799743875,0.7630323696763033
P19,proxy_source_effective_rank,conditional_tasr_percent,10,0.4924034903808523,0.15173848261517384
P14,proxy_source_effective_rank,conditional_tasr_percent,10,0.40606060606060607,0.24833751662483375
within_pair_stratified,proxy_source_effective_rank,conditional_tasr_percent,30,0.3363744008363024,0.08064919350806492
