pair_id,transition_id,batch_index,image_index,generation_target_hit,clean_source_target_margin,adversarial_source_target_margin,clean_robust_margin,adversarial_robust_margin,clean_target_probability,adversarial_target_probability,clean_target_rank,adversarial_target_rank,clean_closedset_entropy,adversarial_closedset_entropy,source_target_gap_closure,robust_gap_closure
P16,T01,0,0,0,-24.25,-5.375,-24.25,-5.375,2.940077695190446e-11,0.004607827868312597,5.0,2.0,2.147351452208568e-08,0.032948948442935944,0.7783505154639175,0.7783505154639175
P16,T01,0,1,0,-16.0,3.0,-16.0,-3.625,1.125345292507518e-07,0.02446979656815529,6.0,3.0,8.080129191512242e-05,0.359902948141098,1.1875,0.7734375
P16,T01,0,2,0,-17.75,-3.875,-17.75,-3.875,1.9555674413140878e-08,0.02033105678856373,6.0,2.0,6.536746695928741e-06,0.10011512786149979,0.7816901408450704,0.7816901408450704
P16,T01,0,3,1,-22.625,7.25,-22.625,7.125,1.493094675675266e-10,0.997044026851654,7.0,1.0,1.8604995943860558e-07,0.025845428928732872,1.3204419889502763,1.3149171270718232
P16,T01,0,4,1,-24.625,15.625,-24.625,13.375,2.020683967374204e-11,0.9999963045120239,6.0,1.0,1.9283433516648074e-08,5.660374881699681e-05,1.634517766497462,1.5431472081218274
P16,T01,0,5,1,-15.999999046325684,7.0,-15.999999046325684,6.625,1.125349982089574e-07,0.9972092509269714,6.0,1.0,3.9660655602347106e-05,0.023136023432016373,1.4375000260770336,1.4140625246800498
P16,T01,0,6,1,-23.5,9.25,-23.5,9.125,6.22414481066258e-11,0.9996360540390015,5.0,1.0,4.977120582339012e-08,0.003881620243191719,1.3936170212765957,1.3882978723404256
P16,T01,0,7,0,-23.25,-11.625,-23.25,-11.625,7.99195987166712e-11,8.938629434851464e-06,5.0,6.0,7.030744342273465e-08,0.001507655601017177,0.5,0.5
P16,T01,1,0,1,-22.5,8.625,-22.5,8.625,1.6918980105806725e-10,0.9994913339614868,5.0,1.0,8.984576282955459e-08,0.0052524409256875515,1.3833333333333333,1.3833333333333333
P16,T01,1,1,1,-17.625,6.25,-17.625,4.125,2.2159477808258998e-08,0.9723968505859375,5.0,1.0,9.153691280516796e-06,0.1639331579208374,1.3546099290780143,1.2340425531914894
