scope,metric,outcome,cell_count,spearman,permutation_p
P16,target_clean_source_target_margin,tasr_percent,10,0.6707441766510146,0.03882961170388296
P19,target_clean_source_target_margin,tasr_percent,10,0.6565379871744698,0.04518954810451895
P14,target_clean_source_target_margin,tasr_percent,10,0.296969696969697,0.4070259297407026
within_pair_stratified,target_clean_source_target_margin,tasr_percent,30,0.5410359338752575,0.003749962500374996
P16,target_clean_source_target_margin,asr_percent,10,0.5460533760344655,0.10892891071089289
P19,target_clean_source_target_margin,asr_percent,10,0.5045616012544536,0.14012859871401287
P14,target_clean_source_target_margin,asr_percent,10,-0.012158110873601292,0.980720192798072
within_pair_stratified,target_clean_source_target_margin,asr_percent,30,0.3455348788808257,0.07400925990740093
P16,target_clean_source_target_margin,conditional_tasr_percent,10,0.6707441766510146,0.03882961170388296
P19,target_clean_source_target_margin,conditional_tasr_percent,10,0.6565379871744698,0.04518954810451895
P14,target_clean_source_target_margin,conditional_tasr_percent,10,0.2727272727272727,0.45015549844501557
within_pair_stratified,target_clean_source_target_margin,conditional_tasr_percent,30,0.53293052662619,0.004249957500424996
P16,target_clean_source_target_margin,semantic_gap_gain,10,-0.22424242424242424,0.5384646153538465
P19,target_clean_source_target_margin,semantic_gap_gain,10,-0.5757575757575758,0.08729912700872991
P14,target_clean_source_target_margin,semantic_gap_gain,10,0.3212121212121212,0.3699263007369926
within_pair_stratified,target_clean_source_target_margin,semantic_gap_gain,30,-0.1595959595959596,0.41952580474195256
P16,target_adversarial_source_target_margin,tasr_percent,10,0.9451395216446115,0.00012999870001299986
P19,target_adversarial_source_target_margin,tasr_percent,10,0.9969650916353059,1.999980000199998e-05
P14,target_adversarial_source_target_margin,tasr_percent,10,0.9757575757575757,3.999960000399996e-05
within_pair_stratified,target_adversarial_source_target_margin,tasr_percent,30,0.9726488698881034,9.99990000099999e-06
P16,target_adversarial_source_target_margin,asr_percent,10,0.9141792475183748,0.0006699933000669994
P19,target_adversarial_source_target_margin,asr_percent,10,0.9361745372672994,0.00023999760002399976
P14,target_adversarial_source_target_margin,asr_percent,10,0.9118583155200969,0.0006399936000639994
within_pair_stratified,target_adversarial_source_target_margin,asr_percent,30,0.9207488243118472,9.99990000099999e-06
