pair_id,transition_id,target_clean_source_target_margin,target_adversarial_source_target_margin,target_source_target_margin_change,target_clean_robust_margin,target_adversarial_robust_margin,target_robust_margin_change,target_clean_target_probability,target_adversarial_target_probability,target_target_probability_change,target_clean_target_rank,target_adversarial_target_rank,target_target_rank_change,target_clean_closedset_entropy,target_adversarial_closedset_entropy,target_closedset_entropy_change,target_mean_robust_gap_closure,target_median_robust_gap_closure,target_mean_source_target_gap_closure,closedset_boundary_crossings,tasr_percent,asr_percent,conditional_tasr_percent,semantic_gap_gain
P16,T01,-21.419999980926512,2.677500002384186,24.097499983310698,-21.419999980926512,1.445,22.864999980926513,3.079961785137225e-08,0.5474403339058157,0.5474403031061978,5.64,2.34,-3.3,1.0841899927589437e-05,0.13211830338242564,0.13210746148249805,1.0749591436782389,1.1447990543735225,1.1361738318565977,28,54.0,60.0,54.0,0.6515734791755676
P16,T02,-24.9325,-20.152500002384187,4.779999997615814,-24.9325,-20.247500002384186,4.684999997615814,3.6259901825888563e-11,0.0010960122572108238,0.001096012220950922,4.68,4.3,-0.38,1.679776538310307e-08,0.061937975830992184,0.061937959033226804,0.19162497345833718,0.1453155339805825,0.19581323238822754,0,0.0,4.0,0.0,0.5378438770771027
P16,T03,-23.9825,-5.502499997615814,18.480000002384187,-23.9825,-6.537499992847443,17.445000007152558,3.356356546735644e-08,0.28115230104249056,0.2811522674789251,7.02,4.08,-2.94,1.917783922712246e-05,0.2690639339398478,0.2690447561006206,0.7327781757619779,0.7076101557753274,0.7803789269040946,13,26.0,40.0,26.0,0.5915301418304444
P16,T04,-24.415,-17.790000004768373,6.6249999952316285,-24.415,-17.925,6.49,3.078888105726221e-09,0.0314578550575354,0.0314578519786473,6.78,5.82,-0.96,4.573554080016251e-06,0.09329435300338135,0.09328977944930134,0.2754417475622333,0.17011629147551477,0.2813879839094454,2,6.0,8.0,6.0,0.7067804121971131
P16,T05,-18.367499980926514,-3.4925000005960465,14.874999980330466,-18.367499980926514,-3.8200000005960466,14.547499980330468,0.008758100242019368,0.3687380040435206,0.3599799038015013,3.32,2.02,-1.3,0.013989280433673965,0.16333358772789938,0.14934430729422543,1.3340151975991086,0.6889253486464315,1.3588671812104969,19,38.0,40.0,38.0,0.3647341454029083
P16,T06,-21.75,-5.275000002384186,16.474999997615814,-21.75,-5.580000003576279,16.169999996423723,3.2367119293802426e-09,0.22395337633084447,0.22395337309413255,7.12,3.9,-3.22,1.937729382142095e-06,0.25069694915847096,0.2506950114290888,0.7456902626375763,0.7402568314170525,0.7615317906734284,11,24.0,32.0,24.0,0.41137129068374634
P16,T07,-20.225,1.307500001192093,21.532500001192094,-20.225,0.38500000357627867,20.61000000357628,8.220832288609314e-08,0.48275839626890954,0.48275831406058667,6.96,2.72,-4.24,5.339099411060033e-05,0.37315438636534964,0.37310099537123903,1.0240603487615685,0.99643014328329,1.0676224083974002,25,48.0,62.0,48.0,0.6130569887161255
P16,T08,-20.9375,-5.514999997615814,15.422500002384187,-20.9375,-6.092499997615814,14.845000002384186,1.4040003526341647e-06,0.2708616343393786,0.27086023033902595,9.2,3.28,-5.92,0.00018108179356989495,0.0839706858470619,0.083789604053492,0.7352925752959807,0.5369903320722993,0.7731601216871191,13,26.0,30.0,26.0,0.5416159272193909
P16,T09,-22.6675,-4.367500002384186,18.299999997615814,-22.6675,-4.835000002384186,17.832499997615813,3.869853433067366e-09,0.36187759127389735,0.3618775874040439,8.58,3.54,-5.04,0.00028056254350080414,0.10816161442927459,0.1078810518857738,0.799615659517267,0.7467562557924003,0.8219640294175768,18,38.0,40.0,38.0,0.5045293712615967
P16,T10,-22.6,-13.799999980926513,8.800000019073487,-22.6,-13.799999980926513,8.800000019073487,1.795200341440581e-07,0.027837073061341967,0.027836893541307823,8.26,5.04,-3.22,3.377799259286718e-05,0.05329976657992205,0.053265988587329186,0.390377607781965,0.3156623546749632,0.390377607781965,1,2.0,2.0,2.0408163265306123,0.557568507194519
P19,T01,-20.049375,19.1475,39.196875,-20.049375,15.3075,35.356875,3.2653891268051223e-08,0.9798585570428986,0.9798585243890073,7.14,1.08,-6.06,2.7732753558211698e-05,0.0014017823369860594,0.0013740495834278477,1.7703126855839346,1.7860985369008164,1.9625190089235165,49,98.0,98.0,98.0,0.05554234623908996
P19,T02,-23.354375,5.3525,28.706875,-23.354375,3.50875,26.863125,8.463119932980434e-10,0.6699861888793112,0.6699861880329991,7.82,2.0,-5.82,2.128144022321976e-06,0.14826147092579048,0.14825934278176817,1.1477703961909176,1.2759107082965826,1.2280407368910082,34,68.0,88.0,68.0,0.060998116731643674
P19,T03,-20.4303125,5.892500002384185,26.322812502384185,-20.4303125,4.141250002384186,24.571562502384186,2.9133733010222595e-08,0.6892389078436463,0.6892388787099132,7.16,2.3,-4.86,2.2171887265471925e-05,0.16046777014487362,0.16044559825760815,1.200502740495754,1.3620985688275176,1.287386724898488,34,70.0,82.0,72.91666666666667,0.06886725783348084
P19,T04,-20.85375,0.865,21.71875,-20.85375,-0.865625,19.988125,1.8087984200165775e-08,0.5262396713423212,0.526239653254337,6.88,2.98,-3.9,1.3717188547559545e-05,0.144655129760489,0.14464141257194144,0.9544614137291363,1.0619365559808895,1.037101840570824,27,56.0,56.0,56.0,0.0609589684009552
P19,T05,-16.870625,13.659375,30.53,-16.870625,9.98,26.850625,7.647134904448238e-06,0.9152995298016714,0.9152918826667669,7.0,1.38,-5.62,0.004974282178328622,0.025708343332640313,0.02073406115431169,1.6307776206732918,1.6867630700778644,1.8605020464519668,46,92.0,92.0,92.0,0.034013627767562865
