pair_id,transition_id,source,target,images,batches,rho,target_logit_weight,source_logit_weight,proxy_hits,proxy_percent,tasr_hits,tasr_percent,asr_hits,asr_percent,target_hits_among_proxy_hits,conditional_denominator,conditional_tasr_percent,mean_semantic_gap_gain,elapsed_seconds
P14,T01,1,4,50,7,0.5,1.0,0.75,39,78.0,29,58.0,29,58.0,29,39,74.35897435897436,0.5010772514343261,1397.2593610088807
P14,T02,2,5,50,7,0.5,1.0,0.75,39,78.0,2,4.0,9,18.0,2,39,5.128205128205129,0.4430590796470642,1379.7852532090037
P14,T03,3,6,50,7,0.5,1.0,0.75,44,88.0,18,36.0,42,84.0,17,44,38.63636363636363,0.4738762557506561,1389.221270953014
P14,T04,4,7,50,7,0.5,1.0,0.75,43,86.0,10,20.0,12,24.0,10,43,23.25581395348837,0.412927531003952,1388.5985715309507
P14,T05,5,8,50,7,0.5,1.0,0.75,50,100.0,41,82.0,42,84.0,41,50,82.0,0.32477556824684145,1391.2377694690367
P14,T06,6,9,50,7,0.5,1.0,0.75,49,98.0,46,92.0,49,98.0,46,49,93.87755102040816,0.4104661536216736,1391.6180478889146
P14,T07,7,10,50,7,0.5,1.0,0.75,43,86.0,38,76.0,48,96.0,37,43,86.04651162790698,0.42129060983657834,1390.958155589993
P14,T08,8,1,50,7,0.5,1.0,0.75,46,92.0,31,62.0,31,62.0,31,46,67.3913043478261,0.5389044332504273,1388.9468944430118
P14,T09,9,2,50,7,0.5,1.0,0.75,46,92.0,34,68.0,35,70.0,34,46,73.91304347826087,0.5467127132415771,1397.9466811351012
P14,T10,10,3,50,7,0.5,1.0,0.75,50,100.0,18,36.0,19,38.0,18,50,36.0,0.584697711467743,1379.7201929878793
P16,T01,1,4,50,7,1.0,1.0,1.0,50,100.0,22,44.0,29,58.0,22,50,44.0,0.8738255834579468,746.6452739860397
P16,T02,2,5,50,7,1.0,1.0,1.0,50,100.0,0,0.0,2,4.0,0,50,0.0,0.7566955327987671,743.7879888580064
P16,T03,3,6,50,7,1.0,1.0,1.0,50,100.0,9,18.0,29,58.0,9,50,18.0,0.7840730381011963,742.3578033400117
P16,T04,4,7,50,7,1.0,1.0,1.0,50,100.0,2,4.0,3,6.0,2,50,4.0,0.9076751399040223,742.8171238030191
P16,T05,5,8,50,7,1.0,1.0,1.0,50,100.0,14,28.0,16,32.0,14,50,28.0,0.5703694820404053,744.1197212760453
P16,T06,6,9,50,7,1.0,1.0,1.0,50,100.0,9,18.0,18,36.0,9,50,18.0,0.6119374299049377,743.9179165009409
P16,T07,7,10,50,7,1.0,1.0,1.0,50,100.0,7,14.0,23,46.0,7,50,14.0,0.8320469856262207,744.2624083789415
P16,T08,8,1,50,7,1.0,1.0,1.0,50,100.0,13,26.0,15,30.0,13,50,26.0,0.7524408221244812,744.1586156410631
P16,T09,9,2,50,7,1.0,1.0,1.0,50,100.0,17,34.0,19,38.0,17,50,34.0,0.7112685251235962,744.103549225023
P16,T10,10,3,50,7,1.0,1.0,1.0,50,100.0,0,0.0,2,4.0,0,50,0.0,0.7373076272010803,743.0440160130383
P19,T01,1,4,50,7,0.5,1.0,1.0,50,100.0,45,90.0,48,96.0,45,50,90.0,0.12195859014987946,3694.560324065038
P19,T02,2,5,50,7,0.5,1.0,1.0,50,100.0,32,64.0,43,86.0,32,50,64.0,0.08358225703239441,3650.2776217419887
P19,T03,3,6,50,7,0.5,1.0,1.0,47,94.0,33,66.0,42,84.0,33,47,70.2127659574468,0.09879443764686585,3638.931700717949
P19,T04,4,7,50,7,0.5,1.0,1.0,50,100.0,20,40.0,23,46.0,20,50,40.0,0.11265059828758239,3678.4837944878964
P19,T05,5,8,50,7,0.5,1.0,1.0,50,100.0,39,78.0,41,82.0,39,50,78.0,0.0882020103931427,3645.0413986988715
P19,T06,6,9,50,7,0.5,1.0,1.0,50,100.0,41,82.0,48,96.0,41,50,82.0,0.07917839407920838,3644.1093535609543
P19,T07,7,10,50,7,0.5,1.0,1.0,49,98.0,34,68.0,40,80.0,34,49,69.38775510204081,0.08741260290145875,3656.32761869987
P19,T08,8,1,50,7,0.5,1.0,1.0,50,100.0,31,62.0,36,72.0,31,50,62.0,0.13664840757846833,3639.1782552298973
P19,T09,9,2,50,7,0.5,1.0,1.0,50,100.0,30,60.0,36,72.0,30,50,60.0,0.14072915256023408,3639.7765307230875
P19,T10,10,3,50,7,0.5,1.0,1.0,50,100.0,10,20.0,12,24.0,10,50,20.0,0.1855923867225647,3648.8131102759507
