pair_id,transition_id,source,target,images,batches,rho,target_logit_weight,source_logit_weight,semantic_temperature,representation_layer,steps,step_size,proxy_hits,proxy_percent,tasr_hits,tasr_percent,asr_hits,asr_percent,target_hits_among_proxy_hits,conditional_denominator,conditional_tasr_percent,mean_semantic_gap_gain,elapsed_seconds
P16,T01,1,4,50,7,1.0,1.0,0.25,0.1,17,50,0.00392156862745098,50,100.0,27,54.0,30,60.0,27,50,54.0,0.6515734791755676,751.3001245368505
P16,T02,2,5,50,7,1.0,1.0,0.25,0.1,17,50,0.00392156862745098,47,94.0,0,0.0,2,4.0,0,47,0.0,0.5378438770771027,744.0459804798593
P16,T03,3,6,50,7,1.0,1.0,0.25,0.1,17,50,0.00392156862745098,50,100.0,13,26.0,20,40.0,13,50,26.0,0.5915301418304444,743.3686281540431
P16,T04,4,7,50,7,1.0,1.0,0.25,0.1,17,50,0.00392156862745098,50,100.0,3,6.0,4,8.0,3,50,6.0,0.7067804121971131,746.6515138510731
P16,T05,5,8,50,7,1.0,1.0,0.25,0.1,17,50,0.00392156862745098,50,100.0,19,38.0,20,40.0,19,50,38.0,0.3647341454029083,743.318820102897
P16,T06,6,9,50,7,1.0,1.0,0.25,0.1,17,50,0.00392156862745098,50,100.0,12,24.0,16,32.0,12,50,24.0,0.41137129068374634,746.7153002339182
P16,T07,7,10,50,7,1.0,1.0,0.25,0.1,17,50,0.00392156862745098,50,100.0,24,48.0,31,62.0,24,50,48.0,0.6130569887161255,744.4756386200315
P16,T08,8,1,50,7,1.0,1.0,0.25,0.1,17,50,0.00392156862745098,50,100.0,13,26.0,15,30.0,13,50,26.0,0.5416159272193909,743.2266870579915
P16,T09,9,2,50,7,1.0,1.0,0.25,0.1,17,50,0.00392156862745098,50,100.0,19,38.0,20,40.0,19,50,38.0,0.5045293712615967,746.2337817091029
P16,T10,10,3,50,7,1.0,1.0,0.25,0.1,17,50,0.00392156862745098,49,98.0,1,2.0,1,2.0,1,49,2.0408163265306123,0.557568507194519,745.7764006099314
P19,T01,1,4,50,7,0.5,1.0,0.5,0.1,15,50,0.00392156862745098,50,100.0,49,98.0,49,98.0,49,50,98.0,0.05554234623908996,3692.6451542380382
P19,T02,2,5,50,7,0.5,1.0,0.5,0.1,15,50,0.00392156862745098,50,100.0,34,68.0,44,88.0,34,50,68.0,0.060998116731643674,3698.560764918977
P19,T03,3,6,50,7,0.5,1.0,0.5,0.1,15,50,0.00392156862745098,48,96.0,35,70.0,41,82.0,35,48,72.91666666666667,0.06886725783348084,3656.587647437933
P19,T04,4,7,50,7,0.5,1.0,0.5,0.1,15,50,0.00392156862745098,50,100.0,28,56.0,28,56.0,28,50,56.0,0.0609589684009552,3654.820670865942
P19,T05,5,8,50,7,0.5,1.0,0.5,0.1,15,50,0.00392156862745098,50,100.0,46,92.0,46,92.0,46,50,92.0,0.034013627767562865,3680.320142060984
P19,T06,6,9,50,7,0.5,1.0,0.5,0.1,15,50,0.00392156862745098,50,100.0,46,92.0,50,100.0,46,50,92.0,0.03837384223937988,3699.681206360052
P19,T07,7,10,50,7,0.5,1.0,0.5,0.1,15,50,0.00392156862745098,50,100.0,41,82.0,48,96.0,41,50,82.0,0.05986303448677063,3703.5125025580637
P19,T08,8,1,50,7,0.5,1.0,0.5,0.1,15,50,0.00392156862745098,50,100.0,44,88.0,46,92.0,44,50,88.0,0.05950035452842713,3710.739549173042
P19,T09,9,2,50,7,0.5,1.0,0.5,0.1,15,50,0.00392156862745098,50,100.0,40,80.0,45,90.0,40,50,80.0,0.06341192722320557,3667.250411671994
P19,T10,10,3,50,7,0.5,1.0,0.5,0.1,15,50,0.00392156862745098,49,98.0,15,30.0,18,36.0,15,49,30.612244897959183,0.09339541792869568,3658.68141599698
P14,T01,1,4,50,7,0.5,1.0,0.5,0.2,17,50,0.00392156862745098,41,82.0,36,72.0,36,72.0,36,41,87.8048780487805,0.48832431316375735,1458.1411290620454
P14,T02,2,5,50,7,0.5,1.0,0.5,0.2,17,50,0.00392156862745098,36,72.0,5,10.0,11,22.0,5,36,13.88888888888889,0.44502389907836915,1442.426878615981
P14,T03,3,6,50,7,0.5,1.0,0.5,0.2,17,50,0.00392156862745098,44,88.0,23,46.0,44,88.0,22,44,50.0,0.4807346200942993,1453.853343024035
P14,T04,4,7,50,7,0.5,1.0,0.5,0.2,17,50,0.00392156862745098,40,80.0,13,26.0,13,26.0,13,40,32.5,0.3873817300796509,1450.20855307288
P14,T05,5,8,50,7,0.5,1.0,0.5,0.2,17,50,0.00392156862745098,50,100.0,45,90.0,48,96.0,45,50,90.0,0.2660159730911255,1447.8070288029267
P14,T06,6,9,50,7,0.5,1.0,0.5,0.2,17,50,0.00392156862745098,49,98.0,48,96.0,48,96.0,48,49,97.95918367346938,0.3403881359100342,1446.5944000211312
P14,T07,7,10,50,7,0.5,1.0,0.5,0.2,17,50,0.00392156862745098,42,84.0,39,78.0,49,98.0,39,42,92.85714285714286,0.3966430056095123,1450.262352687132
P14,T08,8,1,50,7,0.5,1.0,0.5,0.2,17,50,0.00392156862745098,44,88.0,31,62.0,31,62.0,31,44,70.45454545454545,0.4639780163764954,1440.153108265018
P14,T09,9,2,50,7,0.5,1.0,0.5,0.2,17,50,0.00392156862745098,46,92.0,33,66.0,35,70.0,33,46,71.73913043478261,0.47249312162399293,1445.39248352102
P14,T10,10,3,50,7,0.5,1.0,0.5,0.2,17,50,0.00392156862745098,48,96.0,20,40.0,21,42.0,20,48,41.666666666666664,0.5245124626159668,1448.3109300119686
