pair_id,prompt_id,lambda_cka,alpha,proxy_hits,proxy_denominator,target_hits,target_denominator,tasr_percent,untargeted_hits,cka_adv_source,cka_adv_reference,reference_cka_gain,source_cka_drop,status
P20,original,0.3,1.0,8,8,0,8,0.0,2,0.14436747133731842,0.38932669162750244,0.13371318578720093,0.8556325435638428,complete
P20,original,0.0,1.0,8,8,2,8,25.0,5,0.3965591788291931,0.26975196599960327,0.014138460159301758,0.6034408211708069,complete
P20,original,1.0,0.5,8,8,2,8,25.0,5,0.06134241074323654,0.24915985763072968,-0.006453648209571838,0.9386575818061829,complete
P20,original,1.0,2.0,8,8,3,8,37.5,5,0.23595941066741943,0.48406338691711426,0.22844988107681274,0.7640405893325806,complete
P20,original,3.0,1.0,8,8,2,8,25.0,5,0.14176887273788452,0.40193402767181396,0.14632052183151245,0.8582311272621155,complete
P21,original,0.3,1.0,8,8,0,8,0.0,4,0.15542283654212952,0.43854600191116333,0.13197752833366394,0.8445771932601929,complete
P21,original,0.0,1.0,8,8,0,8,0.0,1,0.5609146356582642,0.27163729071617126,-0.034931182861328125,0.43908536434173584,complete
P21,original,1.0,0.5,8,8,0,8,0.0,3,0.06924249976873398,0.3155614733695984,0.008992999792098999,0.9307575225830078,complete
P21,original,1.0,2.0,8,8,0,8,0.0,3,0.2526208460330963,0.5327982306480408,0.22622975707054138,0.7473791837692261,complete
P21,original,3.0,1.0,8,8,1,8,12.5,2,0.14881113171577454,0.4515652060508728,0.1449967324733734,0.8511888980865479,complete
P22,original,0.3,1.0,8,8,0,8,0.0,1,0.2180877923965454,0.48611557483673096,0.08578789234161377,0.7819122076034546,complete
P22,original,0.0,1.0,8,8,0,8,0.0,3,0.6414476633071899,0.3610198199748993,-0.039307862520217896,0.35855233669281006,complete
P22,original,1.0,0.5,8,8,0,8,0.0,3,0.06640641391277313,0.23592239618301392,-0.16440528631210327,0.9335935711860657,complete
P22,original,1.0,2.0,8,8,0,8,0.0,3,0.3580856919288635,0.6018379330635071,0.2015102505683899,0.6419143080711365,complete
P22,original,3.0,1.0,8,8,0,8,0.0,2,0.21690034866333008,0.4905153512954712,0.090187668800354,0.7830996513366699,complete
